BaselineConfidence,CalibrationMethod,GroundingContext,MeanEvalECE,VarEvalECE,MeanT,MeanC,MeanCalibECE
lexical_similarity_min_max_scaled,None (Baseline),N/A,0.1661020215423494,1.6048985337356506e-05,,,
lexical_similarity_min_max_scaled,Temperature Scaling (Baseline Conf),N/A,0.06898071634396727,0.0001969,1.901803607214429,,0.06893869959670271
lexical_similarity_min_max_scaled,Exponent + C,grounding_grounding_sam_mean_min_max_scaled,0.05787989372225196,0.0003732,1.1810821643286578,0.44000000000000006,0.03880930406373871
lexical_similarity_min_max_scaled,Temperature Scaling (Grounding Only),grounding_grounding_sam_mean_min_max_scaled,0.08044389860867687,0.000208,2.182084168336673,,0.08490246697900576
lexical_similarity_min_max_scaled,Exponent + C,grounding_qwen_vl_mean_min_max_scaled,0.09135715403751696,5.54e-05,1.581482965931864,0.5,0.07965533983940129
lexical_similarity_min_max_scaled,Temperature Scaling (Grounding Only),grounding_qwen_vl_mean_min_max_scaled,0.30974995469448796,8.42e-05,4.384288577154309,,0.30459950789617063
lexical_similarity_min_max_scaled,Exponent + C,grounding_llama32_11b_mean_min_max_scaled,0.05049497064353348,0.0001484,1.6215230460921846,0.41,0.049530074690333034
lexical_similarity_min_max_scaled,Temperature Scaling (Grounding Only),grounding_llama32_11b_mean_min_max_scaled,0.14492677622055944,0.0003644,1.7816833667334673,,0.152251659976464
lexical_similarity_min_max_scaled,Exponent + C,grounding_clip_mean_min_max_scaled,0.06623398386305406,0.0001527,3.383286573146293,0.386,0.04150225308420237
lexical_similarity_min_max_scaled,Temperature Scaling (Grounding Only),grounding_clip_mean_min_max_scaled,0.11413822327383442,2.6e-05,2.382284569138277,,0.11182367882330155
num_clusters_min_max_scaled,None (Baseline),N/A,0.41792941656466753,1.972655433226801e-05,,,
num_clusters_min_max_scaled,Temperature Scaling (Baseline Conf),N/A,0.2593675569538423,0.0001945,5.625531062124248,,0.2683232805334712
num_clusters_min_max_scaled,Exponent + C,grounding_grounding_sam_mean_min_max_scaled,0.1566813542121003,8.81e-05,11.191102204408818,0.5,0.1341549144075058
num_clusters_min_max_scaled,Temperature Scaling (Grounding Only),grounding_grounding_sam_mean_min_max_scaled,0.08044389860867687,0.000208,2.182084168336673,,0.08490246697900576
num_clusters_min_max_scaled,Exponent + C,grounding_qwen_vl_mean_min_max_scaled,0.14449083995065,0.0001326,38.77871743486975,0.5,0.13611191030436415
num_clusters_min_max_scaled,Temperature Scaling (Grounding Only),grounding_qwen_vl_mean_min_max_scaled,0.30974995469448796,8.42e-05,4.384288577154309,,0.30459950789617063
num_clusters_min_max_scaled,Exponent + C,grounding_llama32_11b_mean_min_max_scaled,0.14061809839080436,9.09e-05,7.627535070140281,0.49800000000000005,0.1290301067503456
num_clusters_min_max_scaled,Temperature Scaling (Grounding Only),grounding_llama32_11b_mean_min_max_scaled,0.14492677622055944,0.0003644,1.7816833667334673,,0.152251659976464
num_clusters_min_max_scaled,Exponent + C,grounding_clip_mean_min_max_scaled,0.1523802621184575,1.14e-05,15.275190380761524,0.5,0.1381961664789688
num_clusters_min_max_scaled,Temperature Scaling (Grounding Only),grounding_clip_mean_min_max_scaled,0.11413822327383442,2.6e-05,2.382284569138277,,0.11182367882330155
confidence_from_semantic_entropy_min_max_scaled,None (Baseline),N/A,0.10453697962365345,2.535947501182241e-05,,,
confidence_from_semantic_entropy_min_max_scaled,Temperature Scaling (Baseline Conf),N/A,0.10908722745542446,6e-06,1.0609619238476955,,0.10353138773081257
confidence_from_semantic_entropy_min_max_scaled,Exponent + C,grounding_grounding_sam_mean_min_max_scaled,0.05188120622862249,3.52e-05,1.6215230460921846,0.31799999999999995,0.032966521364731396
confidence_from_semantic_entropy_min_max_scaled,Temperature Scaling (Grounding Only),grounding_grounding_sam_mean_min_max_scaled,0.08044389860867687,0.000208,2.182084168336673,,0.08490246697900576
confidence_from_semantic_entropy_min_max_scaled,Exponent + C,grounding_qwen_vl_mean_min_max_scaled,0.10765094018705038,2.87e-05,31.25118236472946,0.5,0.09441330635505403
confidence_from_semantic_entropy_min_max_scaled,Temperature Scaling (Grounding Only),grounding_qwen_vl_mean_min_max_scaled,0.30974995469448796,8.42e-05,4.384288577154309,,0.30459950789617063
confidence_from_semantic_entropy_min_max_scaled,Exponent + C,grounding_llama32_11b_mean_min_max_scaled,0.06998612469316416,5.5e-05,4.304208416833667,0.32799999999999996,0.047752948208973696
confidence_from_semantic_entropy_min_max_scaled,Temperature Scaling (Grounding Only),grounding_llama32_11b_mean_min_max_scaled,0.14492677622055944,0.0003644,1.7816833667334673,,0.152251659976464
confidence_from_semantic_entropy_min_max_scaled,Exponent + C,grounding_clip_mean_min_max_scaled,0.057238952059703176,2.63e-05,3.103006012024048,0.20400000000000001,0.039704108896782525
confidence_from_semantic_entropy_min_max_scaled,Temperature Scaling (Grounding Only),grounding_clip_mean_min_max_scaled,0.11413822327383442,2.6e-05,2.382284569138277,,0.11182367882330155
confidence_from_predictive_entropy_min_max_scaled,None (Baseline),N/A,0.44526464497194984,1.1541000031421074e-05,,,
confidence_from_predictive_entropy_min_max_scaled,Temperature Scaling (Baseline Conf),N/A,0.1965178828649404,4.22e-05,7.627535070140281,,0.19112752221495916
confidence_from_predictive_entropy_min_max_scaled,Exponent + C,grounding_grounding_sam_mean_min_max_scaled,0.13441279870373377,2.12e-05,4.3442484969939885,0.5,0.12670562212881206
confidence_from_predictive_entropy_min_max_scaled,Temperature Scaling (Grounding Only),grounding_grounding_sam_mean_min_max_scaled,0.08044389860867687,0.000208,2.182084168336673,,0.08490246697900576
confidence_from_predictive_entropy_min_max_scaled,Exponent + C,grounding_qwen_vl_mean_min_max_scaled,0.1288871029839491,2.42e-05,1.7016032064128261,0.5,0.1337359237983277
confidence_from_predictive_entropy_min_max_scaled,Temperature Scaling (Grounding Only),grounding_qwen_vl_mean_min_max_scaled,0.30974995469448796,8.42e-05,4.384288577154309,,0.30459950789617063
confidence_from_predictive_entropy_min_max_scaled,Exponent + C,grounding_llama32_11b_mean_min_max_scaled,0.12036201305572947,0.00013,0.8607615230460922,0.496,0.11445499652089572
confidence_from_predictive_entropy_min_max_scaled,Temperature Scaling (Grounding Only),grounding_llama32_11b_mean_min_max_scaled,0.14492677622055944,0.0003644,1.7816833667334673,,0.152251659976464
confidence_from_predictive_entropy_min_max_scaled,Exponent + C,grounding_clip_mean_min_max_scaled,0.1312026151968928,9.86e-05,8.188096192384771,0.496,0.1285297577706098
confidence_from_predictive_entropy_min_max_scaled,Temperature Scaling (Grounding Only),grounding_clip_mean_min_max_scaled,0.11413822327383442,2.6e-05,2.382284569138277,,0.11182367882330155
