baseline,grounding_model,mean_ece,variance_ece,mean_T,mean_C
lexical_similarity_min_max_scaled,baseline,0.14253274732749913,0.0,,
lexical_similarity_min_max_scaled,grounding_grounding_sam_mean_min_max_scaled,0.05239278200711621,0.0,0.7006012024048097,0.46
lexical_similarity_min_max_scaled,grounding_llama32_11b_mean_min_max_scaled,0.044865329884875293,0.0,0.30020040080160326,0.48
lexical_similarity_min_max_scaled,grounding_clip_mean_min_max_scaled,0.04527807483113394,0.0,0.7006012024048097,0.49
num_clusters_min_max_scaled,baseline,0.4544450504499591,0.0,,
num_clusters_min_max_scaled,grounding_grounding_sam_mean_min_max_scaled,0.1432314216892816,0.0,0.30020040080160326,0.5
num_clusters_min_max_scaled,grounding_llama32_11b_mean_min_max_scaled,0.12653668167959248,0.0,0.30020040080160326,0.5
num_clusters_min_max_scaled,grounding_clip_mean_min_max_scaled,0.14342322635307922,0.0,0.5004008016032064,0.5
confidence_from_semantic_entropy_min_max_scaled,baseline,0.09431604385609041,0.0,,
confidence_from_semantic_entropy_min_max_scaled,grounding_grounding_sam_mean_min_max_scaled,0.03550688256471872,0.0,2.9028056112224454,0.16
confidence_from_semantic_entropy_min_max_scaled,grounding_llama32_11b_mean_min_max_scaled,0.028965531070833467,0.0,0.30020040080160326,0.44
confidence_from_semantic_entropy_min_max_scaled,grounding_clip_mean_min_max_scaled,0.03828939196865762,0.0,4.7046092184368735,0.11
confidence_from_predictive_entropy_min_max_scaled,baseline,0.448525519117506,0.0,,
confidence_from_predictive_entropy_min_max_scaled,grounding_grounding_sam_mean_min_max_scaled,0.11452069776133554,0.0,0.7006012024048097,0.5
confidence_from_predictive_entropy_min_max_scaled,grounding_llama32_11b_mean_min_max_scaled,0.0964053588800961,0.0,0.30020040080160326,0.49
confidence_from_predictive_entropy_min_max_scaled,grounding_clip_mean_min_max_scaled,0.11652471494849874,0.0,0.9008016032064129,0.48
