baseline,grounding_model,mean_ece,variance_ece,mean_T,mean_C
lexical_similarity_min_max_scaled,baseline,0.14253274732749913,0.0,,
lexical_similarity_min_max_scaled,grounding_grounding_sam_mean_min_max_scaled,0.011406651161356349,0.0,59.55951903807616,0.8
lexical_similarity_min_max_scaled,grounding_qwen_vl_mean_min_max_scaled,0.011454856085639984,0.0,0.30020040080160326,0.624
lexical_similarity_min_max_scaled,grounding_llama32_11b_mean_min_max_scaled,0.011413726513452972,0.0,66.96693386773548,0.8
num_clusters_min_max_scaled,baseline,0.4544450504499591,0.0,,
num_clusters_min_max_scaled,grounding_grounding_sam_mean_min_max_scaled,0.015005164662079197,0.0,0.1,0.656
num_clusters_min_max_scaled,grounding_qwen_vl_mean_min_max_scaled,0.0021524344494631173,0.0,0.30020040080160326,0.64
num_clusters_min_max_scaled,grounding_llama32_11b_mean_min_max_scaled,0.03133520560918696,0.0,0.1,0.64
confidence_from_semantic_entropy_min_max_scaled,baseline,0.09431604385609041,0.0,,
confidence_from_semantic_entropy_min_max_scaled,grounding_grounding_sam_mean_min_max_scaled,0.013259005173637765,0.0,15.315230460921844,0.8
confidence_from_semantic_entropy_min_max_scaled,grounding_qwen_vl_mean_min_max_scaled,0.013246380277763328,0.0,0.30020040080160326,0.624
confidence_from_semantic_entropy_min_max_scaled,grounding_llama32_11b_mean_min_max_scaled,0.012858473780161327,0.0,94.59458917835671,0.784
confidence_from_predictive_entropy_min_max_scaled,baseline,0.448525519117506,0.0,,
confidence_from_predictive_entropy_min_max_scaled,grounding_grounding_sam_mean_min_max_scaled,0.010495397495320503,0.0,0.1,0.656
confidence_from_predictive_entropy_min_max_scaled,grounding_qwen_vl_mean_min_max_scaled,0.011131044179167812,0.0,0.1,0.656
confidence_from_predictive_entropy_min_max_scaled,grounding_llama32_11b_mean_min_max_scaled,0.024310560845698093,0.0,0.1,0.64
