baseline,grounding_model,mean_ece,variance_ece,mean_T,mean_C
lexical_similarity_min_max_scaled,baseline,0.23731247308011216,0.0,,
lexical_similarity_min_max_scaled,grounding_grounding_sam_mean_min_max_scaled,0.011033710526398259,0.0,43.5434869739479,0.5
lexical_similarity_min_max_scaled,grounding_qwen_vl_mean_min_max_scaled,0.2422960229596951,0.0,37.337274549098204,0.5
lexical_similarity_min_max_scaled,grounding_llama32_11b_mean_min_max_scaled,0.008216170454033195,0.0,1.5014028056112227,0.44
lexical_similarity_min_max_scaled,grounding_gemini_mean_min_max_scaled,0.010056672751439455,0.0,15.915831663326655,0.44
num_clusters_min_max_scaled,baseline,0.6576061865189291,0.0,,
num_clusters_min_max_scaled,grounding_grounding_sam_mean_min_max_scaled,0.23151556238344317,0.0,100.0,0.5
num_clusters_min_max_scaled,grounding_qwen_vl_mean_min_max_scaled,0.29643913181374487,0.0,44.74468937875752,0.5
num_clusters_min_max_scaled,grounding_llama32_11b_mean_min_max_scaled,0.22003040593595807,0.0,1.701603206412826,0.5
num_clusters_min_max_scaled,grounding_gemini_mean_min_max_scaled,0.22165805924044907,0.0,1.901803607214429,0.5
confidence_from_semantic_entropy_min_max_scaled,baseline,0.12542143896471866,0.0,,
confidence_from_semantic_entropy_min_max_scaled,grounding_grounding_sam_mean_min_max_scaled,0.015925324683986903,0.0,7.307214428857716,0.3
confidence_from_semantic_entropy_min_max_scaled,grounding_qwen_vl_mean_min_max_scaled,0.23984557807344328,0.0,5.505410821643287,0.5
confidence_from_semantic_entropy_min_max_scaled,grounding_llama32_11b_mean_min_max_scaled,0.009538814338852872,0.0,4.7046092184368735,0.27
confidence_from_semantic_entropy_min_max_scaled,grounding_gemini_mean_min_max_scaled,0.010240773585495017,0.0,0.7006012024048097,0.4
confidence_from_predictive_entropy_min_max_scaled,baseline,0.6783537404774289,0.0,,
confidence_from_predictive_entropy_min_max_scaled,grounding_grounding_sam_mean_min_max_scaled,0.23705177436465977,0.0,12.912825651302606,0.5
confidence_from_predictive_entropy_min_max_scaled,grounding_qwen_vl_mean_min_max_scaled,0.29680995496990553,0.0,36.33627254509019,0.5
confidence_from_predictive_entropy_min_max_scaled,grounding_llama32_11b_mean_min_max_scaled,0.22212977808893475,0.0,6.706613226452906,0.5
confidence_from_predictive_entropy_min_max_scaled,grounding_gemini_mean_min_max_scaled,0.23133897098712672,0.0,6.706613226452906,0.5
