baseline,grounding_model,mean_ece,variance_ece
lexical_similarity_min_max_scaled,baseline,0.07134655028725034,2.2334703474464065e-05
lexical_similarity_min_max_scaled,grounding_biomedclip_processed_scaled_average,0.03914152704091365,5.7607518171479404e-05
lexical_similarity_min_max_scaled,grounding_llama32_11b_processed_score,0.01251760280436923,5.020013869791855e-06
lexical_similarity_min_max_scaled,grounding_llama32_70b_processed_score,0.01303199634000043,1.4444952770722631e-05
num_clusters_min_max_scaled,baseline,0.39594650205761317,0.00022655061897745905
num_clusters_min_max_scaled,grounding_biomedclip_processed_scaled_average,0.022960047768400806,6.609876130195002e-05
num_clusters_min_max_scaled,grounding_llama32_11b_processed_score,0.015448046276391533,1.6033624693703156e-05
num_clusters_min_max_scaled,grounding_llama32_70b_processed_score,0.010523731375963472,5.2048941837988514e-05
confidence_from_semantic_entropy_min_max_scaled,baseline,0.38316438087410154,9.247044217582144e-05
confidence_from_semantic_entropy_min_max_scaled,grounding_biomedclip_processed_scaled_average,0.023876591037719712,4.923731671355459e-05
confidence_from_semantic_entropy_min_max_scaled,grounding_llama32_11b_processed_score,0.01184670017866946,8.582484767420753e-06
confidence_from_semantic_entropy_min_max_scaled,grounding_llama32_70b_processed_score,0.011874494425470625,1.3121756318445148e-05
confidence_from_predictive_entropy_min_max_scaled,baseline,0.4287936708277714,6.05820384397998e-05
confidence_from_predictive_entropy_min_max_scaled,grounding_biomedclip_processed_scaled_average,0.022694635028947984,5.09210647631067e-05
confidence_from_predictive_entropy_min_max_scaled,grounding_llama32_11b_processed_score,0.011869120678599946,1.3510434866704227e-05
confidence_from_predictive_entropy_min_max_scaled,grounding_llama32_70b_processed_score,0.011704961725378178,1.2051578640245752e-05
