question_id,accuracy
0,1.0
10,0.15
1000,0.75
1001,0.05
1002,1.0
1012,1.0
1013,0.2
1014,0.0
1015,1.0
1017,0.8
102,1.0
1025,1.0
1028,0.0
1034,0.0
1039,0.0
104,0.6
1040,0.4
1041,0.35
1042,0.05
1043,1.0
105,0.0
1051,0.0
1052,0.4
1053,0.95
1054,1.0
1062,0.15
1063,1.0
1064,1.0
1067,1.0
1073,0.3
1078,1.0
1079,1.0
1080,1.0
1081,0.25
1082,1.0
1083,1.0
1086,1.0
109,0.0
1092,0.05
1096,1.0
1097,0.25
1098,0.0
1099,1.0
1102,0.0
1108,0.0
1112,0.0
1113,1.0
1114,0.0
1115,0.0
1116,0.05
1117,1.0
1119,0.0
112,1.0
1127,0.0
1128,0.0
1129,1.0
1130,0.55
1131,1.0
1133,1.0
1139,0.8
114,1.0
1140,0.25
1141,1.0
115,1.0
1152,0.1
1153,0.6
1154,1.0
1164,1.0
1165,0.35
1166,0.0
1167,1.0
1169,1.0
1178,0.95
1179,0.15
118,0.3
1181,1.0
1183,1.0
1191,1.0
1192,0.0
1193,0.2
1194,1.0
1202,0.1
1207,0.0
1208,1.0
1209,0.45
1210,0.0
1211,0.0
1213,1.0
122,1.0
1221,0.6
1223,1.0
1226,1.0
1232,0.0
1237,1.0
1238,0.7
1239,0.0
124,0.0
1240,0.15
1241,1.0
1243,1.0
125,0.85
1251,1.0
1252,0.0
1253,0.4
1254,1.0
1257,1.0
1263,0.0
1268,0.0
1269,0.35
1270,1.0
1273,0.0
1281,0.0
1282,0.65
1283,0.0
1284,1.0
1285,0.3
1287,1.0
1289,0.0
1296,0.0
1297,0.0
1298,1.0
1299,0.85
130,1.0
1300,0.0
1301,1.0
1303,0.0
1310,0.0
1311,0.0
1312,1.0
1313,0.75
1314,0.25
1315,1.0
1317,0.0
132,0.0
1326,0.75
1327,0.0
1328,1.0
1329,0.35
133,0.25
1331,1.0
1333,1.0
1334,1.0
1342,0.15
1343,1.0
1344,1.0
1347,1.0
1357,0.0
1358,1.0
1359,0.05
1360,1.0
1363,1.0
1369,0.0
1374,0.0
1375,0.0
1376,0.2
1378,1.0
138,1.0
1381,1.0
1387,0.0
1392,0.0
1393,1.0
1394,0.1
1395,0.95
1397,1.0
1399,0.0
140,0.3
1405,0.0
1406,0.0
1407,1.0
1408,0.65
1409,0.35
1410,1.0
1412,0.0
1418,1.0
1419,1.0
1420,0.65
1421,0.25
1422,1.0
1426,0.0
1435,0.0
1436,0.0
1437,0.0
1438,0.5
1439,1.0
144,1.0
1443,0.0
1450,0.0
1455,0.0
1456,0.0
1457,0.0
1458,0.65
1459,1.0
146,0.85
1461,0.1
1468,1.0
1471,1.0
1477,0.0
1482,1.0
1483,0.05
1484,0.0
1486,1.0
1490,0.0
1497,0.0
1498,0.0
1499,1.0
1500,0.45
1501,1.0
1503,1.0
1508,0.0
1509,0.0
151,1.0
1510,0.45
1511,1.0
1514,1.0
1520,0.05
1524,0.0
1525,1.0
1526,0.3
1527,0.45
1528,0.0
1530,1.0
1532,0.1
154,0.95
1540,0.0
1541,0.0
1542,0.7
1543,0.25
1544,1.0
1546,1.0
155,0.0
1554,1.0
1555,1.0
1556,0.0
1557,0.2
1558,1.0
1559,0.95
1561,1.0
1563,1.0
1570,0.35
1571,1.0
1575,1.0
1576,0.4
1577,0.35
1578,1.0
1579,1.0
158,1.0
1581,0.3
1590,0.0
1591,0.0
1592,0.4
1593,0.45
1595,1.0
16,1.0
1602,1.0
1604,1.0
161,1.0
1613,1.0
1614,0.0
1615,1.0
1616,0.5
1617,1.0
1619,1.0
162,0.0
1621,1.0
1626,0.95
1627,0.6
1628,0.0
1629,1.0
1631,0.0
1635,1.0
1636,0.2
1637,0.65
1638,0.65
1639,0.2
1640,1.0
165,1.0
1650,0.0
1651,1.0
1652,0.0
1653,1.0
1654,0.25
1655,1.0
1658,1.0
1664,0.25
1669,1.0
1670,1.0
1671,0.0
1672,1.0
1673,0.1
1674,1.0
1677,1.0
168,0.95
1683,0.0
1688,0.05
1689,0.2
169,0.05
1692,1.0
1695,0.55
1699,1.0
1700,0.75
1701,0.0
1702,1.0
1704,1.0
1710,0.0
1711,0.0
1712,0.0
1713,0.35
1715,1.0
1718,1.0
1724,0.0
1728,1.0
1729,1.0
173,1.0
1730,0.0
1731,0.1
1732,1.0
1734,0.9
1736,0.95
1743,0.0
1744,1.0
1752,0.0
1753,1.0
1754,0.0
1755,0.55
1757,1.0
1759,0.2
176,1.0
1764,0.75
1765,0.0
1766,0.35
1767,1.0
1769,1.0
177,0.05
1776,0.0
1777,1.0
1778,0.0
1779,0.0
1780,0.65
1782,1.0
1784,0.2
1789,0.1
1790,0.4
1791,0.35
1796,0.0
1797,0.0
18,0.75
180,1.0
1802,0.0
1804,0.25
1813,1.0
1815,0.3
1817,0.05
1819,1.0
182,1.0
1822,1.0
1823,0.0
1827,0.0
1828,0.0
183,0.0
1832,0.0
1834,1.0
1837,1.0
1842,0.0
1847,0.0
1849,0.35
1850,0.0
1852,0.6
1854,1.0
1859,1.0
1861,1.0
1867,1.0
187,1.0
1872,0.0
1873,0.0
1877,0.0
1880,0.0
1887,0.0
1889,0.0
1890,0.0
1892,0.0
1894,0.95
1897,1.0
190,0.0
1902,0.0
1905,0.0
1907,0.05
1909,0.25
191,0.0
1910,0.0
1917,0.0
1918,1.0
1919,0.1
1922,0.0
1924,1.0
1933,0.0
1935,0.05
1937,0.0
1939,1.0
194,1.0
1948,0.0
1950,0.2
1952,0.0
1954,0.0
1955,0.0
1957,0.95
1959,1.0
1966,0.0
1967,1.0
197,0.05
1973,0.95
1974,0.0
1978,0.05
198,0.05
1981,0.0
1983,1.0
1988,1.0
1993,0.1
1995,0.15
1996,0.0
1999,0.2
2,1.0
2005,0.0
2008,0.15
201,1.0
2010,0.85
2018,0.0
2021,0.0
2023,0.2
2025,1.0
2033,0.0
2034,0.95
2038,0.0
204,0.95
2040,0.3
2043,1.0
2044,0.5
2048,0.0
205,0.2
2050,0.85
2053,0.0
2055,0.95
2056,0.0
2058,1.0
2062,0.0
2065,0.0
2068,0.2
2070,1.0
2071,0.0
2073,0.65
2075,0.0
2082,0.1
2083,0.0
209,1.0
2090,0.0
2091,0.0
2094,0.0
2096,0.1
2099,1.0
2105,0.0
2109,0.1
2111,1.0
2112,0.0
2114,1.0
212,0.0
2120,0.0
2121,0.0
2124,0.15
2126,0.65
2127,0.05
213,0.5
2134,0.9
2139,0.6
2141,1.0
2142,0.0
2144,1.0
2145,0.05
2149,0.0
2150,0.0
2151,0.6
2154,0.1
2157,0.05
2159,1.0
216,1.0
2160,0.45
2163,0.0
2164,1.0
2165,0.0
2169,0.25
2172,0.0
2174,0.75
2176,0.1
218,0.7
219,0.0
2190,0.0
2194,0.65
2196,1.0
2197,0.0
22,1.0
2204,0.0
2209,0.0
2211,0.55
2215,0.0
2218,0.1
2220,0.0
2224,0.0
2229,1.0
2236,0.75
2239,0.35
