question_id,accuracy
0,0.85
10,0.05
1000,0.1
1001,0.0
1002,0.25
1012,0.15
1013,0.1
1014,0.15
1015,0.75
1017,0.05
102,0.55
1025,0.15
1028,0.3
1034,0.0
1039,0.0
104,0.0
1040,0.45
1041,0.05
1042,0.05
1043,0.05
105,0.15
1051,0.0
1052,0.1
1053,0.1
1054,0.05
1062,0.1
1063,0.15
1064,0.05
1067,0.15
1073,0.0
1078,0.0
1079,0.05
1080,0.05
1081,0.0
1082,0.1
1083,0.15
1086,0.0
109,0.0
1092,0.0
1096,0.1
1097,0.0
1098,0.0
1099,0.1
1102,0.1
1108,0.0
1112,0.0
1113,0.0
1114,0.0
1115,0.0
1116,0.1
1117,0.25
1119,0.0
112,0.45
1127,0.0
1128,0.0
1129,0.0
1130,0.1
1131,0.5
1133,0.05
1139,0.05
114,0.45
1140,0.05
1141,0.25
115,0.05
1152,0.05
1153,0.1
1154,0.2
1164,0.05
1165,0.05
1166,0.1
1167,0.2
1169,0.1
1178,0.0
1179,0.1
118,0.0
1181,0.3
1183,0.1
1191,0.0
1192,0.0
1193,0.2
1194,0.0
1202,0.0
1207,0.0
1208,0.0
1209,0.65
1210,0.1
1211,0.0
1213,0.15
122,0.3
1221,0.1
1223,0.2
1226,0.1
1232,0.0
1237,0.05
1238,0.1
1239,0.5
124,0.0
1240,0.0
1241,0.05
1243,0.1
125,0.1
1251,0.15
1252,0.0
1253,0.1
1254,0.2
1257,0.05
1263,0.0
1268,0.0
1269,0.15
1270,0.1
1273,0.05
1281,0.0
1282,0.0
1283,0.0
1284,0.0
1285,0.0
1287,0.2
1289,0.15
1296,0.0
1297,0.0
1298,0.0
1299,0.15
130,0.45
1300,0.0
1301,0.2
1303,0.2
1310,0.0
1311,0.0
1312,0.0
1313,0.05
1314,0.05
1315,0.35
1317,0.05
132,0.0
1326,0.05
1327,0.0
1328,0.0
1329,0.05
133,0.0
1331,0.85
1333,0.05
1334,0.15
1342,0.2
1343,0.05
1344,0.25
1347,0.0
1357,0.0
1358,0.05
1359,0.0
1360,0.15
1363,0.0
1369,0.0
1374,0.05
1375,0.0
1376,0.2
1378,0.05
138,0.35
1381,0.05
1387,0.0
1392,0.0
1393,0.0
1394,0.05
1395,0.1
1397,0.35
1399,0.1
140,0.1
1405,0.0
1406,0.0
1407,0.0
1408,0.25
1409,0.05
1410,0.25
1412,0.1
1418,0.1
1419,0.0
1420,0.1
1421,0.0
1422,0.1
1426,0.2
1435,0.0
1436,0.0
1437,0.0
1438,0.05
1439,0.15
144,0.8
1443,0.05
1450,0.0
1455,0.0
1456,0.0
1457,0.0
1458,0.1
1459,0.6
146,0.3
1461,0.05
1468,0.15
1471,0.0
1477,0.0
1482,0.0
1483,0.05
1484,0.15
1486,0.35
1490,0.2
1497,0.05
1498,0.0
1499,0.0
1500,0.05
1501,0.5
1503,0.1
1508,0.0
1509,0.05
151,0.7
1510,0.05
1511,0.25
1514,0.1
1520,0.0
1524,0.2
1525,0.1
1526,0.0
1527,0.0
1528,0.05
1530,0.15
1532,0.0
154,0.15
1540,0.15
1541,0.0
1542,0.05
1543,0.0
1544,0.15
1546,0.15
155,0.05
1554,0.15
1555,0.05
1556,0.05
1557,0.1
1558,0.05
1559,0.15
1561,0.25
1563,0.0
1570,0.0
1571,0.05
1575,0.1
1576,0.0
1577,0.05
1578,0.0
1579,0.25
158,0.55
1581,0.1
1590,0.0
1591,0.0
1592,0.1
1593,0.8
1595,0.1
16,0.45
1602,0.2
1604,0.05
161,0.25
1613,0.05
1614,0.0
1615,0.0
1616,0.05
1617,0.15
1619,0.4
162,0.2
1621,0.1
1626,0.15
1627,0.05
1628,0.15
1629,0.35
1631,0.3
1635,0.0
1636,0.2
1637,0.0
1638,0.05
1639,0.0
1640,0.4
165,0.85
1650,0.0
1651,0.1
1652,0.05
1653,0.0
1654,0.0
1655,0.2
1658,0.05
1664,0.0
1669,0.0
1670,0.15
1671,0.0
1672,0.1
1673,0.0
1674,0.15
1677,0.1
168,0.1
1683,0.0
1688,0.0
1689,0.05
169,0.0
1692,0.5
1695,0.0
1699,0.05
1700,0.15
1701,0.15
1702,0.15
1704,0.05
1710,0.15
1711,0.0
1712,0.2
1713,0.1
1715,0.15
1718,0.05
1724,0.0
1728,0.1
1729,0.05
173,0.8
1730,0.0
1731,0.05
1732,0.05
1734,0.7
