baseline,grounding_model,mean_ece,variance_ece,mean_T,mean_C
lexical_similarity_min_max_scaled,baseline,0.03245932346935619,3.788044709137302e-06,,
lexical_similarity_min_max_scaled,temperature_scaled,0.03354984183565309,0.0,0.9408416833667337,
lexical_similarity_min_max_scaled,grounding_biomedclip_mean_min_max_scaled,0.005432444531420787,6.3e-06,0.34024048096192394,0.186
lexical_similarity_min_max_scaled,grounding_llama32_11b_mean_min_max_scaled,0.009137032873125114,7.1e-06,0.22012024048096196,0.196
lexical_similarity_min_max_scaled,grounding_qwen_vl_mean_min_max_scaled,0.03425963162253556,0.0001881,0.1,0.0
num_clusters_min_max_scaled,baseline,0.42730093676814984,1.1172317623636479e-05,,
num_clusters_min_max_scaled,temperature_scaled,0.19399028332815402,0.0,0.1,
num_clusters_min_max_scaled,grounding_biomedclip_mean_min_max_scaled,0.008693937287841604,1.63e-05,0.1,0.21200000000000002
num_clusters_min_max_scaled,grounding_llama32_11b_mean_min_max_scaled,0.010694753537901242,3.41e-05,0.1,0.21200000000000002
num_clusters_min_max_scaled,grounding_qwen_vl_mean_min_max_scaled,0.10328271028037381,0.0004506,0.1,0.5
confidence_from_semantic_entropy_min_max_scaled,baseline,0.382695954985642,2.076246063650224e-05,,
confidence_from_semantic_entropy_min_max_scaled,temperature_scaled,0.24715249853376603,0.0,0.2601603206412826,
confidence_from_semantic_entropy_min_max_scaled,grounding_biomedclip_mean_min_max_scaled,0.00909954326278253,1.2e-05,0.1,0.21200000000000002
confidence_from_semantic_entropy_min_max_scaled,grounding_llama32_11b_mean_min_max_scaled,0.010102524160268418,4.3e-06,0.14004008016032063,0.202
confidence_from_semantic_entropy_min_max_scaled,grounding_qwen_vl_mean_min_max_scaled,0.2540346707422775,0.0002076,0.1,0.496
confidence_from_predictive_entropy_min_max_scaled,baseline,0.3944765590769988,1.9814169644930635e-05,,
confidence_from_predictive_entropy_min_max_scaled,temperature_scaled,0.22388928805655794,0.0,0.22012024048096196,
confidence_from_predictive_entropy_min_max_scaled,grounding_biomedclip_mean_min_max_scaled,0.00821379581185055,2.47e-05,0.1,0.21400000000000002
confidence_from_predictive_entropy_min_max_scaled,grounding_llama32_11b_mean_min_max_scaled,0.007367784681397508,1.27e-05,0.1,0.20800000000000002
confidence_from_predictive_entropy_min_max_scaled,grounding_qwen_vl_mean_min_max_scaled,0.23296199396816833,0.0005117,0.1,0.49800000000000005
