baseline,grounding_model,mean_ece,variance_ece,mean_T,mean_C
lexical_similarity_min_max_scaled,baseline,0.0533712839106502,7.405022178467917e-05,,
lexical_similarity_min_max_scaled,grounding_biomedclip_mean_min_max_scaled,0.006966610602315337,4.600454516050058e-06,1.1810821643286575,0.22600000000000003
lexical_similarity_min_max_scaled,grounding_llama32_11b_mean_min_max_scaled,0.008555899845123718,8.463388426065582e-06,0.1,0.264
lexical_similarity_min_max_scaled,grounding_qwen_vl_mean_min_max_scaled,0.028659516072422637,8.831638846100876e-05,2.262164328657315,0.044
lexical_similarity_min_max_scaled,grounding_gemini_mean_min_max_scaled,0.008300350068843538,4.000929452448133e-06,0.1,0.264
num_clusters_min_max_scaled,baseline,0.3569538461538461,0.0003400716370808675,,
num_clusters_min_max_scaled,grounding_biomedclip_mean_min_max_scaled,0.010023670735236929,7.408230962286316e-06,0.1,0.266
num_clusters_min_max_scaled,grounding_llama32_11b_mean_min_max_scaled,0.008739354598275167,2.7792192971042566e-06,0.1,0.264
num_clusters_min_max_scaled,grounding_qwen_vl_mean_min_max_scaled,0.13512609467112766,0.00025435684285792973,43.343286573146294,0.47400000000000003
num_clusters_min_max_scaled,grounding_gemini_mean_min_max_scaled,0.009551429185042967,2.0049229640942442e-05,0.1,0.264
confidence_from_semantic_entropy_min_max_scaled,baseline,0.3118147196275213,0.000219059129706487,,
confidence_from_semantic_entropy_min_max_scaled,grounding_biomedclip_mean_min_max_scaled,0.0112294805302701,5.60478279905793e-06,0.1,0.266
confidence_from_semantic_entropy_min_max_scaled,grounding_llama32_11b_mean_min_max_scaled,0.006575844087328202,7.1675529539143675e-06,0.1,0.264
confidence_from_semantic_entropy_min_max_scaled,grounding_qwen_vl_mean_min_max_scaled,0.23690488373178945,0.0004659643091945133,0.1,0.496
confidence_from_semantic_entropy_min_max_scaled,grounding_gemini_mean_min_max_scaled,0.012091379524361527,1.0115549027701743e-06,0.14004008016032066,0.256
confidence_from_predictive_entropy_min_max_scaled,baseline,0.3682232669014427,7.531552810518551e-05,,
confidence_from_predictive_entropy_min_max_scaled,grounding_biomedclip_mean_min_max_scaled,0.01184473918173318,3.880405159433175e-06,0.1,0.264
confidence_from_predictive_entropy_min_max_scaled,grounding_llama32_11b_mean_min_max_scaled,0.007974647519222423,6.437851433698744e-06,0.1,0.266
confidence_from_predictive_entropy_min_max_scaled,grounding_qwen_vl_mean_min_max_scaled,0.17569103581499745,0.0003093694619935018,12.712625250501004,0.5
confidence_from_predictive_entropy_min_max_scaled,grounding_gemini_mean_min_max_scaled,0.004936737539713207,1.3654035293403649e-05,0.14004008016032063,0.264
