baseline,grounding_model,mean_ece,variance_ece,mean_T,mean_C
lexical_similarity_min_max_scaled,baseline,0.23731247308011216,0.0,,
lexical_similarity_min_max_scaled,grounding_grounding_sam_mean_min_max_scaled,0.011033710526398259,0.0,43.5434869739479,0.5
lexical_similarity_min_max_scaled,grounding_llama32_11b_mean_min_max_scaled,0.008216170454033195,0.0,1.5014028056112227,0.44
lexical_similarity_min_max_scaled,grounding_clip_mean_min_max_scaled,0.011272689585121124,0.0,58.558517034068146,0.5
num_clusters_min_max_scaled,baseline,0.6576061865189291,0.0,,
num_clusters_min_max_scaled,grounding_grounding_sam_mean_min_max_scaled,0.23151556238344317,0.0,100.0,0.5
num_clusters_min_max_scaled,grounding_llama32_11b_mean_min_max_scaled,0.22003040593595807,0.0,1.701603206412826,0.5
num_clusters_min_max_scaled,grounding_clip_mean_min_max_scaled,0.23100903689529925,0.0,26.72665330661323,0.5
confidence_from_semantic_entropy_min_max_scaled,baseline,0.12542143896471866,0.0,,
confidence_from_semantic_entropy_min_max_scaled,grounding_grounding_sam_mean_min_max_scaled,0.015925324683986903,0.0,7.307214428857716,0.3
confidence_from_semantic_entropy_min_max_scaled,grounding_llama32_11b_mean_min_max_scaled,0.009538814338852872,0.0,4.7046092184368735,0.27
confidence_from_semantic_entropy_min_max_scaled,grounding_clip_mean_min_max_scaled,0.014616662927712527,0.0,2.7026052104208422,0.42
confidence_from_predictive_entropy_min_max_scaled,baseline,0.6783537404774289,0.0,,
confidence_from_predictive_entropy_min_max_scaled,grounding_grounding_sam_mean_min_max_scaled,0.23705177436465977,0.0,12.912825651302606,0.5
confidence_from_predictive_entropy_min_max_scaled,grounding_llama32_11b_mean_min_max_scaled,0.22212977808893475,0.0,6.706613226452906,0.5
confidence_from_predictive_entropy_min_max_scaled,grounding_clip_mean_min_max_scaled,0.2347241879400235,0.0,18.518436873747497,0.5
