question_id,grounding_biomedclip,grounding_biomedclip_processed
2,"[29.957616806030273, 29.957616806030273, 34.884254455566406, 31.094379425048828, 30.194786071777344, 16.20429039001465, 31.094379425048828, 16.20429039001465, 30.03360366821289, 16.20429039001465, 30.03360366821289, 30.194786071777344, 16.20429039001465, 29.957616806030273, 31.094379425048828, 16.20429039001465, 29.957616806030273, 16.20429039001465, 29.957616806030273, 27.713367462158203]","[29.957616806030273, 29.957616806030273, 34.884254455566406, 31.094379425048828, 30.194786071777344, 16.20429039001465, 31.094379425048828, 16.20429039001465, 30.03360366821289, 16.20429039001465, 30.03360366821289, 30.194786071777344, 16.20429039001465, 29.957616806030273, 31.094379425048828, 16.20429039001465, 29.957616806030273, 16.20429039001465, 29.957616806030273, 27.713367462158203]"
7,"[30.888124465942383, 30.888124465942383, 30.888124465942383, 30.888124465942383, 30.888124465942383, 32.068172454833984, 30.888124465942383, 30.888124465942383, 16.822471618652344, 16.822471618652344, 30.888124465942383, 30.888124465942383, 16.822471618652344, 16.822471618652344, 16.822471618652344, 30.688514709472656, 16.822471618652344, 30.888124465942383, 30.888124465942383, 30.888124465942383]","[30.888124465942383, 30.888124465942383, 30.888124465942383, 30.888124465942383, 30.888124465942383, 32.068172454833984, 30.888124465942383, 30.888124465942383, 16.822471618652344, 16.822471618652344, 30.888124465942383, 30.888124465942383, 16.822471618652344, 16.822471618652344, 16.822471618652344, 30.688514709472656, 16.822471618652344, 30.888124465942383, 30.888124465942383, 30.888124465942383]"
9,"[29.666959762573242, 28.063705444335938, 26.294208526611328, 28.063705444335938, 28.95244598388672, 25.215391159057617, 28.063705444335938, 32.181724548339844, 28.95244598388672, 22.23525619506836, 26.869112014770508, 22.23525619506836, 28.063705444335938, 28.063705444335938, 21.8360652923584, 28.063705444335938, 26.294208526611328, 28.95244598388672, 28.063705444335938, 29.73194122314453]","[29.666959762573242, 28.063705444335938, 26.294208526611328, 28.063705444335938, 28.95244598388672, 25.215391159057617, 28.063705444335938, 32.181724548339844, 28.95244598388672, 22.23525619506836, 26.869112014770508, 22.23525619506836, 28.063705444335938, 28.063705444335938, 21.8360652923584, 28.063705444335938, 26.294208526611328, 28.95244598388672, 28.063705444335938, 29.73194122314453]"
10,"[25.58106231689453, 29.293603897094727, 29.293603897094727, 30.551923751831055, 21.8360652923584, 29.293603897094727, 29.293603897094727, 29.329391479492188, 29.329391479492188, 22.23525619506836, 30.551923751831055, 30.551923751831055, 25.58106231689453, 25.878746032714844, 25.58106231689453, 29.329391479492188, 25.878746032714844, 29.293603897094727, 21.8360652923584, 25.58106231689453]","[25.58106231689453, 29.293603897094727, 29.293603897094727, 30.551923751831055, 21.8360652923584, 29.293603897094727, 29.293603897094727, 29.329391479492188, 29.329391479492188, 22.23525619506836, 30.551923751831055, 30.551923751831055, 25.58106231689453, 25.878746032714844, 25.58106231689453, 29.329391479492188, 25.878746032714844, 29.293603897094727, 21.8360652923584, 25.58106231689453]"
16,"[18.936141967773438, 18.936141967773438, 18.936141967773438, 18.936141967773438, 32.137935638427734, 32.137935638427734, 18.936141967773438, 33.501014709472656, 33.501014709472656, 32.137935638427734, 32.137935638427734, 33.501014709472656, 32.137935638427734, 18.936141967773438, 18.936141967773438, 33.501014709472656, 18.936141967773438, 33.501014709472656, 33.501014709472656, 33.501014709472656]","[18.936141967773438, 18.936141967773438, 18.936141967773438, 18.936141967773438, 32.137935638427734, 32.137935638427734, 18.936141967773438, 33.501014709472656, 33.501014709472656, 32.137935638427734, 32.137935638427734, 33.501014709472656, 32.137935638427734, 18.936141967773438, 18.936141967773438, 33.501014709472656, 18.936141967773438, 33.501014709472656, 33.501014709472656, 33.501014709472656]"
18,"[28.7457332611084, 28.7457332611084, 25.89323616027832, 25.89323616027832, 28.7457332611084, 28.7457332611084, 28.7457332611084, 30.091476440429688, 30.95563507080078, 25.89323616027832, 25.89323616027832, 28.7457332611084, 28.7457332611084, 25.837268829345703, 25.89323616027832, 23.22134780883789, 30.091476440429688, 23.22134780883789, 25.837268829345703, 28.7457332611084]","[28.7457332611084, 28.7457332611084, 25.89323616027832, 25.89323616027832, 28.7457332611084, 28.7457332611084, 28.7457332611084, 30.091476440429688, 30.95563507080078, 25.89323616027832, 25.89323616027832, 28.7457332611084, 28.7457332611084, 25.837268829345703, 25.89323616027832, 23.22134780883789, 30.091476440429688, 23.22134780883789, 25.837268829345703, 28.7457332611084]"
22,"[34.88499450683594, 15.081073760986328, 15.081073760986328, 34.88499450683594, 15.081073760986328, 34.88499450683594, 15.081073760986328, 34.88499450683594, 34.88499450683594, 15.081073760986328, 34.88499450683594, 15.081073760986328, 34.88499450683594, 15.081073760986328, 15.081073760986328, 34.88499450683594, 34.88499450683594, 34.88499450683594, 34.88499450683594, 15.081073760986328]","[34.88499450683594, 15.081073760986328, 15.081073760986328, 34.88499450683594, 15.081073760986328, 34.88499450683594, 15.081073760986328, 34.88499450683594, 34.88499450683594, 15.081073760986328, 34.88499450683594, 15.081073760986328, 34.88499450683594, 15.081073760986328, 15.081073760986328, 34.88499450683594, 34.88499450683594, 34.88499450683594, 34.88499450683594, 15.081073760986328]"
24,"[27.544654846191406, 26.736181259155273, 26.325031280517578, 26.736181259155273, 26.736181259155273, 26.736181259155273, 27.544654846191406, 26.736181259155273, 26.736181259155273, 23.373247146606445, 26.736181259155273, 23.908538818359375, 26.736181259155273, 23.373247146606445, 23.908538818359375, 23.908538818359375, 26.736181259155273, 26.736181259155273, 23.908538818359375, 26.736181259155273]","[27.544654846191406, 26.736181259155273, 26.325031280517578, 26.736181259155273, 26.736181259155273, 26.736181259155273, 27.544654846191406, 26.736181259155273, 26.736181259155273, 23.373247146606445, 26.736181259155273, 23.908538818359375, 26.736181259155273, 23.373247146606445, 23.908538818359375, 23.908538818359375, 26.736181259155273, 26.736181259155273, 23.908538818359375, 26.736181259155273]"
25,"[25.250843048095703, 25.250843048095703, 28.367050170898438, 28.816410064697266, 28.367050170898438, 28.367050170898438, 25.250843048095703, 28.367050170898438, 28.367050170898438, 25.250843048095703, 27.16701889038086, 25.250843048095703, 28.367050170898438, 28.816410064697266, 28.367050170898438, 25.250843048095703, 28.367050170898438, 23.908538818359375, 25.250843048095703, 28.367050170898438]","[25.250843048095703, 25.250843048095703, 28.367050170898438, 28.816410064697266, 28.367050170898438, 28.367050170898438, 25.250843048095703, 28.367050170898438, 28.367050170898438, 25.250843048095703, 27.16701889038086, 25.250843048095703, 28.367050170898438, 28.816410064697266, 28.367050170898438, 25.250843048095703, 28.367050170898438, 23.908538818359375, 25.250843048095703, 28.367050170898438]"
29,"[35.63798141479492, 33.039215087890625, 36.761722564697266, 37.80011749267578, 29.610897064208984, 34.17383575439453, 36.21853256225586, 37.39594268798828, 33.93243408203125, 33.42609405517578, 29.298837661743164, 29.610897064208984, 31.7750244140625, 29.34872055053711, 33.31024932861328, 34.17383575439453, 29.610897064208984, 35.215065002441406, 29.610897064208984, 30.69932746887207]","[35.63798141479492, 33.039215087890625, 36.761722564697266, 37.80011749267578, 29.610897064208984, 34.17383575439453, 36.21853256225586, 37.39594268798828, 33.93243408203125, 33.42609405517578, 29.298837661743164, 29.610897064208984, 31.7750244140625, 29.34872055053711, 33.31024932861328, 34.17383575439453, 29.610897064208984, 35.215065002441406, 29.610897064208984, 30.69932746887207]"
32,"[16.07727813720703, 30.04835319519043, 16.07727813720703, 30.04835319519043, 30.04835319519043, 30.04835319519043, 30.04835319519043, 16.07727813720703, 16.07727813720703, 16.07727813720703, 30.04835319519043, 30.502883911132812, 16.07727813720703, 16.07727813720703, 16.07727813720703, 16.07727813720703, 30.04835319519043, 30.04835319519043, 30.04835319519043, 30.04835319519043]","[16.07727813720703, 30.04835319519043, 16.07727813720703, 30.04835319519043, 30.04835319519043, 30.04835319519043, 30.04835319519043, 16.07727813720703, 16.07727813720703, 16.07727813720703, 30.04835319519043, 30.502883911132812, 16.07727813720703, 16.07727813720703, 16.07727813720703, 16.07727813720703, 30.04835319519043, 30.04835319519043, 30.04835319519043, 30.04835319519043]"
34,"[16.240509033203125, 28.348867416381836, 28.348867416381836, 29.72271728515625, 28.348867416381836, 23.568462371826172, 16.240509033203125, 27.33382225036621, 28.348867416381836, 29.72271728515625, 26.91423797607422, 28.348867416381836, 31.850418090820312, 16.240509033203125, 28.348867416381836, 25.535411834716797, 23.568462371826172, 23.449512481689453, 28.348867416381836, 28.348867416381836]","[16.240509033203125, 28.348867416381836, 28.348867416381836, 29.72271728515625, 28.348867416381836, 23.568462371826172, 16.240509033203125, 27.33382225036621, 28.348867416381836, 29.72271728515625, 26.91423797607422, 28.348867416381836, 31.850418090820312, 16.240509033203125, 28.348867416381836, 25.535411834716797, 23.568462371826172, 23.449512481689453, 28.348867416381836, 28.348867416381836]"
35,"[26.522340774536133, 26.522340774536133, 27.172595977783203, 26.522340774536133, 26.522340774536133, 27.172595977783203, 31.850418090820312, 33.17583084106445, 18.223339080810547, 27.172595977783203, 26.522340774536133, 33.17583084106445, 26.522340774536133, 27.172595977783203, 31.850418090820312, 18.223339080810547, 33.17583084106445, 27.172595977783203, 26.522340774536133, 26.522340774536133]","[26.522340774536133, 26.522340774536133, 27.172595977783203, 26.522340774536133, 26.522340774536133, 27.172595977783203, 31.850418090820312, 33.17583084106445, 18.223339080810547, 27.172595977783203, 26.522340774536133, 33.17583084106445, 26.522340774536133, 27.172595977783203, 31.850418090820312, 18.223339080810547, 33.17583084106445, 27.172595977783203, 26.522340774536133, 26.522340774536133]"
39,"[24.12624168395996, 37.50012969970703, 13.874874114990234, 32.24011993408203, 23.625070571899414, 19.150100708007812, 29.44220542907715, 18.959640502929688, 37.66947937011719, 15.056741714477539, 27.97898292541504, 20.149124145507812, 25.109764099121094, 24.69697380065918, 33.33769226074219, 31.45248794555664, 21.83357810974121, 11.523369789123535, 19.490768432617188, 18.566099166870117]","[24.12624168395996, 37.50012969970703, 13.874874114990234, 32.24011993408203, 23.625070571899414, 19.150100708007812, 29.44220542907715, 18.959640502929688, 37.66947937011719, 15.056741714477539, 27.97898292541504, 20.149124145507812, 25.109764099121094, 24.69697380065918, 33.33769226074219, 31.45248794555664, 21.83357810974121, 11.523369789123535, 19.490768432617188, 18.566099166870117]"
42,"[30.59221649169922, 30.59221649169922, 15.21269416809082, 15.21269416809082, 29.835525512695312, 29.835525512695312, 15.21269416809082, 30.59221649169922, 30.59221649169922, 15.21269416809082, 15.21269416809082, 15.21269416809082, 30.59221649169922, 30.59221649169922, 15.21269416809082, 15.21269416809082, 15.21269416809082, 30.59221649169922, 15.21269416809082, 30.59221649169922]","[30.59221649169922, 30.59221649169922, 15.21269416809082, 15.21269416809082, 29.835525512695312, 29.835525512695312, 15.21269416809082, 30.59221649169922, 30.59221649169922, 15.21269416809082, 15.21269416809082, 15.21269416809082, 30.59221649169922, 30.59221649169922, 15.21269416809082, 15.21269416809082, 15.21269416809082, 30.59221649169922, 15.21269416809082, 30.59221649169922]"
44,"[11.797042846679688, 20.862524032592773, 11.797042846679688, 11.797042846679688, 20.862524032592773, 20.862524032592773, 11.797042846679688, 20.862524032592773, 24.71262550354004, 20.862524032592773, 24.71262550354004, 20.106708526611328, 14.773303031921387, 11.797042846679688, 19.076356887817383, 11.797042846679688, 23.787273406982422, 24.42184829711914, 15.904398918151855, 18.18707847595215]","[11.797042846679688, 20.862524032592773, 11.797042846679688, 11.797042846679688, 20.862524032592773, 20.862524032592773, 11.797042846679688, 20.862524032592773, 24.71262550354004, 20.862524032592773, 24.71262550354004, 20.106708526611328, 14.773303031921387, 11.797042846679688, 19.076356887817383, 11.797042846679688, 23.787273406982422, 24.42184829711914, 15.904398918151855, 18.18707847595215]"
45,"[16.921079635620117, 16.921079635620117, 16.921079635620117, 16.921079635620117, 16.921079635620117, 16.921079635620117, 16.921079635620117, 16.921079635620117, 16.921079635620117, 16.921079635620117, 16.921079635620117, 16.921079635620117, 16.921079635620117, 16.921079635620117, 16.921079635620117, 28.18524169921875, 16.921079635620117, 16.921079635620117, 16.921079635620117, 11.797042846679688]","[16.921079635620117, 16.921079635620117, 16.921079635620117, 16.921079635620117, 16.921079635620117, 16.921079635620117, 16.921079635620117, 16.921079635620117, 16.921079635620117, 16.921079635620117, 16.921079635620117, 16.921079635620117, 16.921079635620117, 16.921079635620117, 16.921079635620117, 28.18524169921875, 16.921079635620117, 16.921079635620117, 16.921079635620117, 11.797042846679688]"
49,"[28.225862503051758, 30.695526123046875, 19.771686553955078, 23.980487823486328, 19.953758239746094, 22.720077514648438, 33.27773666381836, 31.71520233154297, 32.283790588378906, 30.712717056274414, 27.956584930419922, 23.980487823486328, 30.720693588256836, 28.095670700073242, 19.637248992919922, 19.776559829711914, 30.25246810913086, 19.725706100463867, 25.88545799255371, 19.474658966064453]","[28.225862503051758, 30.695526123046875, 19.771686553955078, 23.980487823486328, 19.953758239746094, 22.720077514648438, 33.27773666381836, 31.71520233154297, 32.283790588378906, 30.712717056274414, 27.956584930419922, 23.980487823486328, 30.720693588256836, 28.095670700073242, 19.637248992919922, 19.776559829711914, 30.25246810913086, 19.725706100463867, 25.88545799255371, 19.474658966064453]"
53,"[16.431806564331055, 16.431806564331055, 16.431806564331055, 16.431806564331055, 16.431806564331055, 16.431806564331055, 16.431806564331055, 16.431806564331055, 16.431806564331055, 30.94755744934082, 16.431806564331055, 30.94755744934082, 16.431806564331055, 16.431806564331055, 16.431806564331055, 16.431806564331055, 30.94755744934082, 16.431806564331055, 16.431806564331055, 16.431806564331055]","[16.431806564331055, 16.431806564331055, 16.431806564331055, 16.431806564331055, 16.431806564331055, 16.431806564331055, 16.431806564331055, 16.431806564331055, 16.431806564331055, 30.94755744934082, 16.431806564331055, 30.94755744934082, 16.431806564331055, 16.431806564331055, 16.431806564331055, 16.431806564331055, 30.94755744934082, 16.431806564331055, 16.431806564331055, 16.431806564331055]"
55,"[30.292510986328125, 25.843135833740234, 23.23398208618164, 25.843135833740234, 25.843135833740234, 30.292510986328125, 23.23398208618164, 30.292510986328125, 25.843135833740234, 30.292510986328125, 23.23398208618164, 23.23398208618164, 25.843135833740234, 25.843135833740234, 25.843135833740234, 22.58184814453125, 24.214229583740234, 25.843135833740234, 30.292510986328125, 25.843135833740234]","[30.292510986328125, 25.843135833740234, 23.23398208618164, 25.843135833740234, 25.843135833740234, 30.292510986328125, 23.23398208618164, 30.292510986328125, 25.843135833740234, 30.292510986328125, 23.23398208618164, 23.23398208618164, 25.843135833740234, 25.843135833740234, 25.843135833740234, 22.58184814453125, 24.214229583740234, 25.843135833740234, 30.292510986328125, 25.843135833740234]"
56,"[22.77171516418457, 21.776607513427734, 21.776607513427734, 28.675094604492188, 21.776607513427734, 30.292510986328125, 30.944721221923828, 21.776607513427734, 21.776607513427734, 21.776607513427734, 21.776607513427734, 26.853986740112305, 21.776607513427734, 21.776607513427734, 30.944721221923828, 21.776607513427734, 21.776607513427734, 21.776607513427734, 26.853986740112305, 21.776607513427734]","[22.77171516418457, 21.776607513427734, 21.776607513427734, 28.675094604492188, 21.776607513427734, 30.292510986328125, 30.944721221923828, 21.776607513427734, 21.776607513427734, 21.776607513427734, 21.776607513427734, 26.853986740112305, 21.776607513427734, 21.776607513427734, 30.944721221923828, 21.776607513427734, 21.776607513427734, 21.776607513427734, 26.853986740112305, 21.776607513427734]"
60,"[24.0506591796875, 33.32659149169922, 34.325462341308594, 31.53522300720215, 33.748191833496094, 35.36870574951172, 34.325462341308594, 36.35673522949219, 31.53522300720215, 33.32659149169922, 34.325462341308594, 29.56339454650879, 34.3912239074707, 26.267532348632812, 36.03937530517578, 21.807912826538086, 36.35673522949219, 26.267532348632812, 26.267532348632812, 26.267532348632812]","[24.0506591796875, 33.32659149169922, 34.325462341308594, 31.53522300720215, 33.748191833496094, 35.36870574951172, 34.325462341308594, 36.35673522949219, 31.53522300720215, 33.32659149169922, 34.325462341308594, 29.56339454650879, 34.3912239074707, 26.267532348632812, 36.03937530517578, 21.807912826538086, 36.35673522949219, 26.267532348632812, 26.267532348632812, 26.267532348632812]"
64,"[19.181034088134766, 19.181034088134766, 19.181034088134766, 19.181034088134766, 35.87409973144531, 19.181034088134766, 19.181034088134766, 19.181034088134766, 19.181034088134766, 19.181034088134766, 19.181034088134766, 19.181034088134766, 19.181034088134766, 19.181034088134766, 19.181034088134766, 19.181034088134766, 19.181034088134766, 19.181034088134766, 19.181034088134766, 19.181034088134766]","[19.181034088134766, 19.181034088134766, 19.181034088134766, 19.181034088134766, 35.87409973144531, 19.181034088134766, 19.181034088134766, 19.181034088134766, 19.181034088134766, 19.181034088134766, 19.181034088134766, 19.181034088134766, 19.181034088134766, 19.181034088134766, 19.181034088134766, 19.181034088134766, 19.181034088134766, 19.181034088134766, 19.181034088134766, 19.181034088134766]"
66,"[34.490821838378906, 31.984874725341797, 34.37207794189453, 24.942691802978516, 30.275129318237305, 36.20538330078125, 30.67241096496582, 28.28884506225586, 34.97212600708008, 33.319580078125, 30.629714965820312, 25.78000259399414, 36.62151336669922, 23.774667739868164, 31.667051315307617, 31.29315757751465, 26.384227752685547, 31.984874725341797, 25.572965621948242, 26.384227752685547]","[34.490821838378906, 31.984874725341797, 34.37207794189453, 24.942691802978516, 30.275129318237305, 36.20538330078125, 30.67241096496582, 28.28884506225586, 34.97212600708008, 33.319580078125, 30.629714965820312, 25.78000259399414, 36.62151336669922, 23.774667739868164, 31.667051315307617, 31.29315757751465, 26.384227752685547, 31.984874725341797, 25.572965621948242, 26.384227752685547]"
72,"[15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172]","[15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172, 15.578472137451172]"
74,"[26.802555084228516, 31.25679588317871, 31.25679588317871, 26.802555084228516, 26.802555084228516, 31.25679588317871, 26.802555084228516, 26.802555084228516, 26.802555084228516, 26.802555084228516, 26.802555084228516, 24.535301208496094, 31.25679588317871, 31.25679588317871, 26.802555084228516, 25.494487762451172, 26.802555084228516, 25.494487762451172, 26.802555084228516, 26.802555084228516]","[26.802555084228516, 31.25679588317871, 31.25679588317871, 26.802555084228516, 26.802555084228516, 31.25679588317871, 26.802555084228516, 26.802555084228516, 26.802555084228516, 26.802555084228516, 26.802555084228516, 24.535301208496094, 31.25679588317871, 31.25679588317871, 26.802555084228516, 25.494487762451172, 26.802555084228516, 25.494487762451172, 26.802555084228516, 26.802555084228516]"
75,"[27.304941177368164, 21.846540451049805, 28.764163970947266, 27.304941177368164, 21.846540451049805, 21.846540451049805, 21.846540451049805, 28.764163970947266, 21.846540451049805, 21.846540451049805, 21.846540451049805, 21.846540451049805, 21.846540451049805, 28.764163970947266, 21.846540451049805, 21.846540451049805, 28.764163970947266, 21.846540451049805, 21.846540451049805, 21.846540451049805]","[27.304941177368164, 21.846540451049805, 28.764163970947266, 27.304941177368164, 21.846540451049805, 21.846540451049805, 21.846540451049805, 28.764163970947266, 21.846540451049805, 21.846540451049805, 21.846540451049805, 21.846540451049805, 21.846540451049805, 28.764163970947266, 21.846540451049805, 21.846540451049805, 28.764163970947266, 21.846540451049805, 21.846540451049805, 21.846540451049805]"
79,"[24.010814666748047, 36.46162414550781, 26.60750389099121, 27.38312339782715, 27.07803726196289, 35.215423583984375, 30.614517211914062, 32.94797897338867, 33.66905212402344, 34.02444839477539, 33.64183807373047, 35.07609176635742, 24.010814666748047, 28.83077621459961, 26.60750389099121, 27.150630950927734, 33.42572784423828, 30.085878372192383, 26.60750389099121, 26.60750389099121]","[24.010814666748047, 36.46162414550781, 26.60750389099121, 27.38312339782715, 27.07803726196289, 35.215423583984375, 30.614517211914062, 32.94797897338867, 33.66905212402344, 34.02444839477539, 33.64183807373047, 35.07609176635742, 24.010814666748047, 28.83077621459961, 26.60750389099121, 27.150630950927734, 33.42572784423828, 30.085878372192383, 26.60750389099121, 26.60750389099121]"
