question_id,accuracy
1005171,1.0
1015720,0.0
1023221,1.0
1040060,0.95
1043680,1.0
1050271,0.05
1051082,1.0
1052002,0.9
1065131,0.3
1070971,0.8
107840,0.5
108181,1.0
1091361,1.0
1091740,0.35
1093512,1.0
1101362,0.1
1101570,1.0
1112231,0.2
1115680,0.9
1117141,0.95
1119981,1.0
1129512,0.0
1130892,1.0
1139440,1.0
1140791,1.0
1142560,1.0
1143920,1.0
114610,0.95
115441,1.0
1157181,0.85
1158041,1.0
1165722,0.85
1169630,0.35
1170311,1.0
1174030,1.0
1179310,0.95
1181620,1.0
1194232,1.0
1194382,0.6
1198820,1.0
1201881,0.0
1208460,0.95
1216021,1.0
1216662,0.95
1222671,0.9
1229730,0.25
1230130,1.0
1232602,1.0
1238551,1.0
1239390,0.95
1242301,1.0
1250362,1.0
125090,0.95
1253411,0.95
1254071,1.0
1256670,1.0
1257611,0.9
1263710,0.85
1266812,1.0
1272022,0.45
127280,1.0
127282,0.75
1278632,0.95
128052,0.8
1281520,1.0
1286651,0.95
1294562,0.0
1300532,0.95
1301001,1.0
1313730,0.7
1322121,0.9
13231,0.95
1345620,0.95
1345992,0.0
1359661,0.85
1368862,1.0
1370160,0.95
1372302,1.0
1373320,1.0
1376661,0.8
1380692,1.0
1383872,0.95
1384361,0.55
1387601,1.0
1387720,1.0
1405290,1.0
1413862,1.0
142031,0.7
1421131,1.0
1425611,0.15
1429811,0.9
1436161,1.0
1439210,1.0
1439840,1.0
144020,1.0
1441962,0.0
1443130,1.0
1447961,0.85
1464491,0.95
1467221,0.75
1471220,1.0
1477821,0.95
1489381,1.0
1495511,1.0
15180,0.8
1523092,0.4
1524340,1.0
1525862,1.0
1533940,0.55
1534762,1.0
1543292,0.7
154720,0.95
1549160,1.0
1558060,0.15
1558941,0.8
1559360,0.95
1565931,0.95
1567842,0.25
1571981,0.9
1573002,1.0
1573501,0.55
1576731,1.0
157722,0.0
1579210,1.0
1582992,1.0
1599240,1.0
1604201,1.0
1604281,0.15
1606482,1.0
1613671,1.0
1635791,0.85
163590,1.0
1642110,1.0
1644620,1.0
1644621,1.0
1645870,0.9
1649510,1.0
1655131,1.0
1667231,0.95
1668481,0.0
1669750,0.75
1671151,1.0
1673170,0.85
167960,1.0
168230,0.95
168371,1.0
1696530,1.0
1699022,0.95
1700452,1.0
1707860,1.0
1709822,0.45
171001,0.0
1714191,0.9
1717371,0.3
1729571,0.95
1731301,1.0
1731840,1.0
1732212,0.1
1750212,0.35
1751562,1.0
1759521,0.9
1761060,0.85
1765681,1.0
1766942,0.7
1770782,0.7
17740,0.3
1774920,0.75
1778602,1.0
1779170,0.55
1783892,1.0
1785260,0.5
1786951,1.0
1795531,1.0
1803411,0.9
1803971,0.9
1805880,0.35
1807652,0.85
1810471,1.0
1811252,0.95
1814932,0.95
1820960,1.0
1825932,1.0
182652,1.0
1827561,1.0
185051,0.9
1856462,1.0
1856661,0.95
1867402,0.0
1867910,0.35
186831,0.8
1868802,1.0
1876160,0.95
1876592,1.0
187851,1.0
1878861,0.8
1883902,1.0
1891530,0.9
1893561,1.0
1894050,1.0
189420,0.95
1894590,1.0
1908451,0.75
1912970,0.5
1913321,0.95
1916670,1.0
1917162,0.95
1931481,1.0
193182,0.75
194501,0.15
194872,1.0
1951491,0.0
1954201,1.0
1962902,0.7
1964970,0.0
1971690,0.45
1972370,0.75
1974371,1.0
197551,1.0
1979620,0.0
1983192,0.95
1984370,1.0
1991572,0.9
2002880,0.85
2003690,0.0
2005000,1.0
2008671,0.95
2009461,0.35
2014191,0.7
2014211,1.0
2014250,0.8
2014311,0.95
201841,0.9
2018862,0.65
2019392,1.0
2024140,1.0
2027670,0.95
2028610,1.0
2030620,0.55
2036800,0.25
2038590,1.0
2051251,0.55
2058081,0.95
2058582,0.95
2062210,1.0
2063181,0.85
2064690,1.0
2064892,0.3
207200,0.85
2078892,1.0
2080570,0.8
208090,0.0
2090461,0.6
2091281,1.0
2092872,1.0
2103950,0.0
2108670,1.0
2113882,1.0
2115730,1.0
2116771,0.95
2128401,0.6
2135552,1.0
2136770,1.0
2148342,1.0
2150770,0.95
215712,0.0
2158810,1.0
2164542,0.95
2164700,0.95
2178231,0.95
2182011,0.2
2191791,0.8
2197781,0.95
2201890,1.0
2201902,1.0
2203772,0.85
2207991,1.0
2208892,0.9
2215650,0.95
2217710,0.85
2223092,1.0
2224751,1.0
2227412,0.8
2231940,0.8
223671,0.95
2237551,0.8
2245922,0.3
2246771,1.0
2253920,1.0
2260341,0.9
2265951,0.8
2277430,1.0
2280292,1.0
2288572,0.1
2302730,1.0
2304170,0.0
2305820,0.7
2309681,1.0
2310490,0.8
2310802,1.0
2313951,0.95
2328191,1.0
2337860,1.0
2338411,1.0
2338770,0.9
2339321,0.1
2341381,0.9
2346120,1.0
2346491,0.35
2355681,1.0
2358132,1.0
2359961,1.0
2362940,1.0
2366231,1.0
2366500,0.95
2366612,0.7
2372032,1.0
237431,0.95
2377211,1.0
2378970,1.0
2382011,1.0
2383160,0.15
2383162,0.95
2406151,0.45
2406981,0.9
240811,1.0
2419632,1.0
2422781,0.75
2423071,1.0
2424840,1.0
2437920,1.0
2452061,0.1
2452300,1.0
2454152,1.0
2464122,1.0
2469591,1.0
2471260,0.05
2474591,0.9
2479512,1.0
248770,1.0
2490760,0.9
2491250,1.0
2504511,0.75
2510472,1.0
2518621,1.0
252730,1.0
2529180,0.95
2529560,0.9
2534790,1.0
2535221,0.75
253850,0.3
2541941,0.9
2545221,1.0
2552241,1.0
2554940,0.4
2555222,0.0
2555461,0.95
2559991,0.95
2561551,1.0
2563860,0.2
2568690,0.25
257232,1.0
2572550,0.8
257650,1.0
2577960,0.25
2579722,0.85
258472,1.0
2586761,0.85
2591491,0.95
2608381,0.95
2622992,1.0
2636042,0.7
2638231,0.75
2643650,0.9
2651580,0.95
2657370,0.55
2660431,1.0
2665042,0.5
2667562,1.0
266990,0.95
2674161,1.0
2677322,1.0
2681332,0.6
2687310,0.1
2693662,0.95
2696930,0.15
27031,1.0
2720510,1.0
2720820,1.0
2724791,1.0
2728460,0.1
2730290,1.0
2730751,1.0
2732532,1.0
2732761,0.8
2734560,1.0
2738042,0.95
2758680,1.0
2770260,0.95
2774910,0.9
2775030,1.0
2778101,1.0
2783940,0.9
2791870,0.65
2807870,1.0
2810050,0.6
2810540,0.95
2811940,1.0
2812672,1.0
2819520,1.0
2824850,1.0
2825681,0.0
2827930,1.0
2839680,0.95
2843491,1.0
2853531,0.95
2860641,1.0
2864712,0.65
2866962,0.05
2878310,0.9
2882340,1.0
2882670,0.55
2894901,1.0
2897970,0.8
2901751,0.95
2903792,1.0
2904151,1.0
2904282,1.0
2906900,0.75
2917520,1.0
2919732,0.95
2926902,0.8
2935431,0.8
2935981,1.0
2940870,1.0
2942380,1.0
2944091,0.95
2944590,1.0
2953290,0.9
2958041,1.0
29641,0.3
2970922,0.95
2971521,0.0
2977650,0.3
298390,1.0
2985012,0.55
2985352,1.0
2989871,1.0
2999321,1.0
3000700,1.0
3011941,0.8
3012081,1.0
3016460,0.55
3018550,1.0
3018701,0.95
3020650,0.4
3020651,0.0
3028451,0.95
3033761,0.9
304080,1.0
3048660,1.0
3053382,1.0
3056902,0.5
3057020,0.95
3062191,1.0
3062310,0.95
3065930,0.9
3080250,0.8
3089630,1.0
309440,0.15
3099162,0.95
3100611,0.9
3105882,0.95
310781,0.8
311610,0.95
3118682,0.9
3124941,1.0
3128020,1.0
313340,1.0
3136010,1.0
3145562,1.0
