question_id,accuracy
0,0.9
10,0.15
1000,0.1
1001,0.0
1002,0.4
1012,0.25
1013,0.1
1014,0.1
1015,0.8
1017,0.05
102,0.7
1025,0.3
1028,0.55
1034,0.0
1039,0.3
104,0.0
1040,0.35
1041,0.05
1042,0.0
1043,0.15
105,0.7
1051,0.0
1052,0.3
1053,0.9
1054,0.15
1062,0.35
1063,0.9
1064,0.1
1067,0.15
1073,0.0
1078,0.0
1079,0.15
1080,0.05
1081,0.1
1082,1.0
1083,0.25
1086,0.25
109,0.0
1092,0.0
1096,0.05
1097,0.05
1098,0.6
1099,0.35
1102,0.75
1108,0.0
1112,0.0
1113,0.05
1114,0.0
1115,0.0
1116,0.15
1117,0.4
1119,0.7
112,0.7
1127,0.0
1128,0.0
1129,0.0
1130,0.25
1131,0.8
1133,0.7
1139,0.35
114,1.0
1140,0.1
1141,0.35
115,0.9
1152,0.05
1153,0.25
1154,0.2
1164,0.1
1165,0.05
1166,0.05
1167,0.35
1169,0.1
1178,0.0
1179,0.15
118,0.0
1181,0.55
1183,0.3
1191,0.05
1192,0.0
1193,0.2
1194,0.0
1202,0.0
1207,0.0
1208,0.15
1209,0.3
1210,0.2
1211,0.05
1213,0.25
122,0.4
1221,0.3
1223,0.3
1226,0.3
1232,0.0
1237,0.05
1238,0.0
1239,0.35
124,0.0
1240,0.25
1241,0.1
1243,0.05
125,0.7
1251,0.2
1252,0.0
1253,0.15
1254,0.35
1257,0.05
1263,0.0
1268,0.0
1269,0.15
1270,0.2
1273,0.75
1281,0.0
1282,0.1
1283,0.0
1284,0.0
1285,0.2
1287,0.2
1289,0.65
1296,0.05
1297,0.0
1298,0.0
1299,0.2
130,0.65
1300,0.0
1301,0.35
1303,0.7
1310,0.0
1311,0.0
1312,0.0
1313,0.1
1314,0.3
1315,0.6
1317,0.6
132,0.0
1326,0.0
1327,0.0
1328,0.0
1329,0.25
133,0.0
1331,0.85
1333,0.1
1334,0.35
1342,0.2
1343,0.25
1344,0.25
1347,0.2
1357,0.0
1358,0.1
1359,0.1
1360,0.15
1363,0.2
1369,0.0
1374,0.0
1375,0.0
1376,0.3
1378,0.1
138,0.6
1381,0.05
1387,0.0
1392,0.0
1393,0.2
1394,0.2
1395,0.05
1397,0.55
1399,0.6
140,0.9
1405,0.0
1406,0.0
1407,0.0
1408,0.45
1409,0.3
1410,0.55
1412,0.65
1418,0.6
1419,0.0
1420,0.25
1421,0.1
1422,0.3
1426,0.8
1435,0.0
1436,0.0
1437,0.0
1438,0.2
1439,0.25
144,0.85
1443,0.65
1450,0.0
1455,0.0
1456,0.0
1457,0.0
1458,0.15
1459,0.8
146,0.65
1461,0.0
1468,0.15
1471,0.2
1477,0.0
1482,0.05
1483,0.15
1484,0.0
1486,0.5
1490,0.6
1497,0.0
1498,0.0
1499,0.0
1500,0.1
1501,0.65
1503,0.25
1508,0.0
1509,0.0
151,0.7
1510,0.15
1511,0.45
1514,0.2
1520,0.0
1524,0.1
1525,0.15
1526,0.0
1527,0.05
1528,0.0
1530,0.3
1532,0.0
154,0.3
1540,0.15
1541,0.0
1542,0.0
1543,0.1
1544,0.45
1546,0.3
155,0.05
1554,0.15
1555,0.1
1556,0.0
1557,0.1
1558,0.05
1559,1.0
1561,0.5
1563,0.2
1570,0.05
1571,0.15
1575,0.05
1576,0.0
1577,0.1
1578,0.0
1579,0.5
158,0.55
1581,0.1
1590,0.0
1591,0.0
1592,0.3
1593,0.9
1595,0.15
16,0.55
1602,0.55
1604,0.2
161,0.45
1613,0.2
1614,0.0
1615,0.2
1616,0.15
1617,0.05
1619,0.7
162,0.15
1621,0.5
1626,0.8
1627,0.1
1628,0.3
1629,0.55
1631,0.8
1635,0.0
1636,0.45
1637,0.0
1638,0.1
1639,0.1
1640,0.65
165,0.9
1650,0.0
1651,0.1
1652,0.0
1653,0.0
1654,0.1
1655,0.3
1658,0.2
1664,0.0
1669,0.0
1670,0.1
1671,0.0
1672,0.15
1673,0.05
1674,0.2
1677,0.2
168,0.25
1683,0.0
1688,0.0
1689,0.05
169,0.0
1692,0.7
1695,0.05
1699,0.8
1700,0.2
1701,0.15
1702,0.35
1704,0.3
1710,0.0
1711,0.0
1712,0.0
1713,0.15
1715,0.6
1718,0.25
1724,0.0
1728,0.15
1729,0.2
173,0.8
1730,0.0
1731,0.15
1732,0.0
1734,0.7
1736,0.0
1743,0.05
1744,0.3
1752,0.05
1753,0.1
1754,0.0
1755,0.15
1757,0.15
1759,0.0
176,0.35
1764,0.0
1765,0.0
1766,0.2
1767,0.6
1769,0.25
177,0.05
1776,0.0
1777,0.1
1778,0.0
1779,0.0
1780,0.25
1782,0.3
1784,0.0
1789,0.0
1790,0.0
1791,0.1
1796,0.15
1797,0.3
18,0.8
180,0.75
1802,0.0
1804,0.55
1813,1.0
1815,0.0
1817,0.0
1819,0.2
182,0.3
1822,0.9
1823,0.15
1827,0.65
1828,0.2
183,0.0
1832,0.0
1834,0.6
1837,0.95
1842,0.15
1847,0.0
1849,0.25
1850,0.0
1852,0.75
1854,0.5
1859,0.8
1861,0.1
1867,0.85
187,0.7
1872,0.15
1873,0.85
1877,0.0
1880,0.0
1887,0.0
1889,0.0
1890,0.0
1892,0.0
1894,0.55
1897,1.0
190,0.3
1902,0.05
1905,0.05
1907,0.0
1909,0.25
191,0.0
1910,0.0
1917,0.85
1918,0.85
1919,0.05
1922,0.0
1924,0.6
1933,0.25
1935,0.0
1937,0.0
1939,0.35
194,0.9
1948,0.9
1950,0.05
1952,0.0
1954,0.4
1955,0.0
1957,0.85
1959,0.05
1966,0.05
1967,0.1
197,0.05
1973,0.95
1974,0.75
1978,0.0
198,0.0
1981,0.0
1983,0.65
1988,0.9
1993,0.0
1995,0.25
1996,0.0
1999,0.0
2,0.45
2005,0.0
2008,0.0
201,0.95
2010,0.3
2018,0.75
2021,0.0
2023,0.0
2025,0.45
2033,0.8
2034,0.95
2038,0.0
204,0.25
2040,0.3
2043,0.75
2044,0.0
2048,0.1
205,0.05
2050,0.0
2053,0.0
2055,0.2
2056,0.0
2058,0.9
2062,0.05
2065,0.0
2068,0.0
2070,0.45
2071,0.0
2073,0.85
2075,0.05
2082,0.0
2083,0.15
209,0.85
2090,0.2
2091,0.05
2094,0.0
2096,0.25
2099,0.95
2105,0.2
2109,0.0
2111,0.15
2112,0.1
2114,0.9
212,0.2
2120,0.8
2121,0.0
2124,0.0
2126,0.45
2127,0.0
213,0.0
2134,1.0
2139,0.0
2141,0.45
2142,0.0
2144,0.9
2145,0.0
2149,0.05
2150,0.75
2151,0.05
2154,0.0
2157,0.0
2159,0.8
216,0.85
2160,0.0
2163,0.1
2164,0.9
2165,0.0
2169,0.0
2172,0.1
2174,0.9
2176,0.1
218,0.25
219,0.0
2190,0.8
2194,0.0
2196,0.45
2197,0.05
22,0.6
2204,0.7
2209,0.0
2211,0.3
2215,0.0
2218,0.1
2220,0.6
2224,0.0
2229,0.8
2236,0.15
2239,0.0
224,0.75
2241,0.3
2242,0.0
2244,0.75
2245,0.0
2248,0.05
2249,0.85
2251,0.0
2254,0.0
2256,0.7
2260,0.05
2263,0.0
2265,0.65
2266,0.0
2269,0.0
227,0.3
2271,0.5
2272,0.05
2275,0.0
228,0.0
2284,0.0
2289,0.9
2290,0.0
2296,0.0
2299,0.0
2301,0.3
2304,0.6
2310,0.7
2314,0.0
2316,0.3
2319,0.85
232,0.85
2326,0.0
2329,0.0
2331,0.35
2339,0.9
234,0.25
2340,0.45
2341,0.0
2344,0.0
2346,0.2
2347,0.0
235,0.05
2355,0.1
2359,0.0
2361,0.25
2362,0.0
2369,0.95
2370,0.4
2371,0.0
2374,0.0
2377,0.1
2380,0.05
2385,0.85
2386,0.0
2387,0.05
2389,0.0
239,0.9
2391,0.5
2394,0.9
2396,0.25
24,1.0
2404,0.2
2405,0.1
241,0.3
2410,0.2
2412,0.2
2416,0.0
2418,0.6
2421,0.8
2425,0.05
2427,0.9
243,0.25
2431,0.0
2433,0.0
2436,0.9
2440,0.0
2442,0.8
2446,0.0
2448,0.0
2449,0.0
2456,0.15
2461,0.0
2463,0.0
2466,0.65
2467,0.0
247,0.8
2471,0.15
2473,0.0
2476,0.0
2478,0.55
2479,0.0
2481,0.9
2483,0.15
249,0.35
2492,0.0
2493,0.85
2498,0.85
25,0.65
250,0.05
2503,0.0
2505,0.0
2508,0.95
2513,1.0
2518,0.0
2520,0.0
2521,0.25
2524,0.05
2529,1.0
2530,0.0
2533,0.0
2535,0.45
2536,0.05
2538,0.9
2542,0.15
2548,0.0
255,0.75
2550,0.0
2553,0.8
2554,0.0
2560,0.0
2561,0.0
2563,0.0
2566,0.0
257,0.35
2576,0.05
2578,0.0
258,0.9
2580,0.0
2583,0.75
2585,0.1
2602,0.0
2605,0.0
2615,0.0
2617,0.0
2619,0.45
2620,0.0
2627,0.2
2629,0.0
263,0.95
2630,0.05
2632,0.0
2634,0.2
2638,0.05
2641,0.15
2644,0.05
2647,0.0
2649,0.0
265,0.5
2650,0.15
2656,0.1
2657,0.65
2658,0.15
266,0.05
2660,0.0
2662,0.0
2664,0.0
2668,0.0
2671,0.25
2673,0.75
2677,0.0
2679,0.55
2682,0.8
2684,0.1
2693,0.05
2698,0.1
2699,0.55
2704,0.0
2706,0.0
2707,0.0
271,0.75
2715,0.95
2716,0.0
2719,0.0
2721,0.0
2725,0.0
2729,0.7
2730,1.0
2734,0.0
2736,0.55
2739,0.85
274,0.6
2743,0.0
2744,1.0
2745,0.75
2749,0.0
275,0.0
2751,0.0
2752,0.0
2759,0.2
2760,0.75
2764,0.0
2767,0.0
2774,0.1
2775,0.5
2779,0.0
2782,0.0
2784,0.8
2786,0.05
279,0.7
2795,0.05
2796,0.55
2799,0.0
2801,0.0
2803,0.2
281,0.25
2816,0.0
2818,0.35
2819,0.05
282,0.0
2825,0.0
2831,0.0
2833,0.45
2844,0.05
2845,0.2
2847,0.2
2848,0.0
2856,0.6
2857,0.55
2860,0.0
2861,0.25
2863,0.05
2864,0.0
2868,0.05
287,0.7
2872,0.5
2876,0.0
2877,0.1
2879,0.1
2880,0.0
2889,0.7
2892,0.0
2893,0.2
2895,0.0
2899,0.0
29,0.0
290,0.35
2900,0.0
2903,0.6
2904,0.0
2907,0.0
2908,0.1
291,0.05
2910,0.0
2914,0.7
2916,0.15
2924,0.05
2925,0.0
2928,0.55
2929,0.0
2932,0.0
2933,0.1
2935,0.0
2947,0.0
2948,0.25
2958,0.7
296,0.65
2961,0.0
2962,0.25
2964,0.0
2971,0.0
2972,0.7
2975,0.0
2976,0.3
2984,0.1
2988,0.0
2989,0.2
299,0.4
2991,0.0
2992,0.0
2996,0.9
2998,0.45
2999,0.2
300,0.0
3000,0.3
3002,0.0
3006,0.0
3013,0.0
3014,0.95
3015,0.0
3020,0.15
3026,0.05
3027,0.3
3029,0.0
3030,0.0
3037,0.55
304,0.85
3041,0.0
3042,0.2
3044,0.0
3045,0.0
3050,0.0
3052,0.0
3053,0.55
3056,0.05
3057,0.35
3059,0.0
306,0.35
3066,0.65
3067,0.0
3069,0.0
3070,0.1
3077,0.0
3080,0.0
3081,0.25
3082,0.0
3090,0.0
3093,0.05
3094,0.15
3095,0.05
3102,0.0
3106,0.05
3107,0.1
311,0.85
3111,0.25
3118,0.05
3125,0.0
3126,0.0
3132,0.0
3135,0.4
3136,0.0
3139,0.0
314,0.4
3140,0.05
3141,0.05
315,0.0
3150,0.0
3153,0.0
3154,0.0
3155,0.0
3159,0.0
3163,0.2
3166,0.05
3167,0.0
3171,0.95
3173,0.35
3174,0.65
3175,0.05
3177,0.0
318,0.85
3181,0.0
3187,0.0
3188,0.0
3196,0.45
3199,0.35
32,0.55
320,0.25
3200,0.0
321,0.05
3211,0.05
3212,0.15
3223,0.2
3224,0.05
3235,0.0
3236,0.35
3237,0.05
3241,0.85
3246,0.55
3247,0.0
3249,0.85
325,0.85
3250,0.35
3254,0.75
3258,0.0
3260,0.35
3261,0.05
3265,0.0
3266,0.15
327,0.4
3274,0.0
3276,0.85
3278,0.45
3279,0.65
328,0.0
3280,0.4
3282,0.0
3285,0.8
3286,0.45
3293,0.0
3294,0.9
3299,0.55
3301,0.0
3302,0.9
3304,0.0
3310,0.0
3312,0.6
332,0.7
3320,0.8
3322,0.05
3325,0.65
3326,0.0
3329,0.75
3330,0.4
3331,0.05
3336,0.0
3339,0.75
334,0.25
3345,0.0
3347,0.9
3349,0.55
335,0.05
3350,0.25
3351,0.25
3353,0.0
3356,0.4
3360,0.65
3361,0.0
3367,0.05
3371,0.0
3373,0.9
3375,0.0
3378,0.7
3383,0.45
3387,0.8
3388,0.0
3396,0.35
3397,0.0
3398,0.0
34,0.0
340,0.8
3406,0.0
3408,0.0
3415,0.0
3420,0.05
3424,0.0
3425,0.05
343,0.35
3433,0.55
3436,0.0
3437,0.9
3438,0.4
344,0.0
3447,0.75
3448,0.05
3456,0.35
3460,0.4
3463,0.0
3464,0.9
3466,0.15
3467,0.55
3468,0.2
3470,0.0
3473,0.8
3479,0.0
348,0.75
3480,0.05
3483,0.65
3492,0.0
35,0.8
3500,0.8
3508,0.0
3509,0.95
351,0.35
3514,0.85
3515,0.0
3517,0.85
3519,0.45
352,0.0
3520,0.75
3521,0.3
3523,0.0
3531,0.45
3532,0.0
3534,0.8
3536,0.0
3544,0.25
3549,0.0
3551,0.95
3552,0.35
3556,0.55
3560,0.1
3567,0.0
3568,0.95
3569,0.3
357,0.85
3576,0.0
3578,0.0
3582,0.55
3588,0.15
3592,0.45
3595,0.0
3597,0.35
3598,0.05
360,0.5
3601,0.75
3602,0.05
3603,0.0
3606,0.15
361,0.0
3613,0.0
3614,0.85
3622,0.85
3627,0.55
3631,0.95
3632,0.2
3639,0.85
3643,0.5
3645,0.9
3647,0.4
3648,0.1
3652,0.95
3654,0.45
3655,0.6
3656,0.4
3658,0.0
366,0.95
3668,0.0
3671,0.3
3675,0.85
3676,0.0
3677,0.0
368,0.4
3680,0.2
3681,0.05
3684,0.55
3685,0.0
3686,0.0
3687,0.0
369,0.0
3694,0.0
3699,0.05
3702,0.45
3706,0.05
3707,0.95
3708,0.2
3714,0.0
3715,0.0
3716,0.85
3718,0.55
3719,0.65
3720,0.15
3722,0.0
3725,0.95
373,0.9
3730,0.95
3731,0.0
3734,0.8
3735,0.2
3736,0.05
3740,0.0
3745,0.2
375,0.15
3750,0.0
3755,0.05
3759,0.0
3760,0.0
3761,0.0
3767,0.55
3768,0.0
3769,0.0
3770,0.0
3771,0.75
3776,0.75
3779,1.0
