question_id,accuracy
11934,0.4
11935,0.05
11936,0.7
11937,0.75
11938,0.0
11939,0.0
11940,0.05
11941,0.0
11942,0.3
11943,0.0
11944,0.75
11945,0.65
11946,0.0
11947,1.0
11948,0.9
11949,0.0
11950,0.1
11951,0.0
11952,0.15
11953,0.0
11954,0.55
11955,0.65
11956,0.05
11957,1.0
11958,0.8
11959,0.05
11960,0.1
11961,0.0
11962,0.0
11963,0.1
11964,0.0
11965,0.9
11966,0.4
11967,0.35
11968,0.0
11969,0.0
11970,0.0
11971,0.85
11972,0.65
11973,0.85
11974,0.25
11975,0.05
11976,0.3
11977,0.15
11978,0.0
11979,0.05
11980,0.8
11981,0.2
11982,0.0
11983,0.35
11984,0.05
11985,0.0
11986,0.3
11987,0.65
11988,0.35
11989,0.0
11990,0.35
11991,0.0
11992,0.05
11993,0.65
11994,0.85
11995,0.55
11996,0.0
11997,0.45
11998,0.0
11999,0.15
12000,0.7
12001,0.9
12002,0.25
12003,0.0
12004,0.2
12005,0.05
12006,0.1
12007,0.2
12008,0.8
12009,0.8
12010,0.1
12011,0.0
12012,0.4
12013,0.05
12014,0.05
12015,0.6
12016,1.0
12017,0.35
12018,0.05
12019,0.15
12020,0.0
12021,0.0
12022,0.7
12023,0.9
12024,0.6
12025,0.4
12026,0.15
12027,0.05
12028,0.0
12029,0.1
12030,0.95
12031,0.85
12032,0.35
12033,0.3
12034,0.0
12035,0.0
12036,0.2
12037,0.25
12038,0.85
12039,0.85
12040,0.5
12041,0.1
12042,0.2
12043,0.0
12044,0.0
12045,0.0
12046,0.8
12047,0.8
12048,0.4
12049,0.25
12050,0.0
12051,0.0
12052,0.1
12053,0.0
12054,0.85
12055,0.9
12056,0.95
12057,0.3
12058,0.0
12059,0.15
12060,0.0
12061,0.0
12062,0.1
12063,0.55
12064,0.1
12065,0.25
12066,0.85
12067,0.3
12068,0.05
12069,0.3
12070,0.0
12071,0.0
12072,0.15
12073,0.0
12074,0.9
12075,0.4
12076,1.0
12077,0.2
12078,0.05
12079,0.0
12080,0.0
12081,0.0
12082,0.0
12083,0.25
12084,0.15
12085,0.0
12086,0.8
12087,0.0
12088,0.3
12089,0.05
12090,0.15
12091,0.65
12092,0.1
12093,0.0
12094,0.9
12095,0.15
12096,0.0
12097,0.0
12098,0.05
12099,0.0
12100,0.9
12101,0.0
12102,0.55
12103,0.0
12104,0.0
12105,0.15
12106,0.25
12107,0.9
12108,0.05
12109,0.0
12110,0.0
12111,0.0
12112,0.0
12113,0.0
12114,0.2
12115,0.05
12116,0.75
12117,0.15
12118,0.05
12119,0.1
12120,0.15
12121,1.0
12122,0.1
12123,0.0
12124,0.0
12125,0.1
12126,0.0
12127,0.2
12128,0.1
12129,0.05
12130,0.1
12131,0.05
12132,0.05
12133,0.0
12134,0.0
12135,0.0
12136,0.2
12137,0.2
12138,0.2
12139,0.65
12140,0.1
12141,0.0
12142,0.0
12143,0.05
12144,0.0
12145,0.35
12146,0.0
12147,0.15
12148,0.0
12149,0.0
12150,0.1
12151,0.05
12152,0.05
12153,0.15
12154,0.85
12155,0.85
12156,0.0
12157,0.1
12158,0.1
12159,0.0
12160,0.1
12161,0.75
12162,0.6
12163,0.1
12164,0.0
12165,0.0
12166,0.0
12167,0.05
12168,0.05
12169,0.6
12170,0.25
12171,0.8
12172,0.05
12173,0.75
12174,0.05
12175,0.0
12176,0.05
12177,0.15
12178,0.0
12179,0.0
12180,0.05
12181,0.1
12182,0.05
12183,0.6
12184,0.05
12185,0.0
12186,0.0
12187,0.05
12188,0.0
12189,0.0
12190,0.05
12191,0.95
12192,0.15
12193,0.1
12194,0.1
12195,0.15
12196,0.0
12197,0.0
12198,0.0
12199,0.0
12200,0.1
12201,0.0
12202,0.05
12203,0.15
12204,0.05
12205,0.05
12206,0.0
12207,0.35
12208,0.8
12209,0.1
12210,0.2
12211,0.05
12212,0.0
12213,0.0
12214,0.0
12215,0.0
12216,0.15
12217,0.25
12218,0.0
12219,0.15
12220,0.0
12221,0.05
12222,0.85
12223,0.0
12224,0.0
12225,0.05
12226,0.0
12227,0.0
12228,0.0
12229,0.1
12230,0.0
12231,0.15
12232,0.0
12233,0.3
12234,0.0
12235,0.25
12236,0.75
12237,0.25
12238,0.1
12239,0.0
12240,0.0
12241,0.1
12242,0.0
12243,0.0
12244,0.15
12245,0.0
12246,0.0
12247,0.25
12248,0.0
12249,0.45
12250,0.65
12251,0.15
12252,0.05
12253,0.0
12254,0.0
12255,0.0
12256,0.05
12257,0.05
12258,0.55
12259,0.05
12260,0.1
12261,0.0
12262,0.0
12263,0.0
12264,0.65
12265,0.0
12266,0.55
12267,1.0
12268,0.05
12269,0.65
12270,0.4
12271,0.05
12272,0.0
12273,0.1
12274,0.0
12275,0.0
12276,0.5
12277,0.0
12278,0.3
12279,0.9
12280,0.0
12281,0.75
12282,0.15
12283,0.0
12284,0.85
12285,0.0
12286,0.05
12287,0.0
12288,0.0
12289,0.0
12290,0.0
