question_id,grounding_biomedclip,grounding_biomedclip_processed,grounding_biomedclip_mean,grounding_llama32_11b,grounding_llama32_11b_processed,grounding_llama32_11b_mean,grounding_qwen_vl,grounding_qwen_vl_processed,grounding_qwen_vl_mean
11934,"[26.814552307128906, 20.8580322265625, 11.647608757019043, 22.120494842529297, 27.18044662475586, 27.76752471923828, 25.875886917114258, 29.207584381103516, 33.00105285644531, 30.620594024658203, 31.903209686279297, 30.05257797241211, 24.825342178344727, 25.930341720581055, 24.7855167388916, 28.142532348632812, 25.828243255615234, 22.930994033813477, 32.290626525878906, 27.38245964050293]","[26.814552307128906, 20.8580322265625, 11.647608757019043, 22.120494842529297, 27.18044662475586, 27.76752471923828, 25.875886917114258, 29.207584381103516, 33.00105285644531, 30.620594024658203, 31.903209686279297, 30.05257797241211, 24.825342178344727, 25.930341720581055, 24.7855167388916, 28.142532348632812, 25.828243255615234, 22.930994033813477, 32.290626525878906, 27.38245964050293]",26.458281087875367,"['No.<|eot_id|>', 'No<|eot_id|>', 'No<|eot_id|>', 'No<|eot_id|>', 'No.<|eot_id|>', 'No<|eot_id|>', '**Answer:** No<|eot_id|>', '**Yes**<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No<|eot_id|>', 'No<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>']","['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes']",0.25,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']","['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",0.0
11935,"[23.294612884521484, 33.354148864746094, 26.204608917236328, 27.699451446533203, 20.836912155151367, 23.13730239868164, 13.65727424621582, 29.15799331665039, 20.80657196044922, 24.278839111328125, 27.699451446533203, 19.538925170898438, 22.571025848388672, 27.699451446533203, 27.699451446533203, 17.633886337280273, 30.426647186279297, 27.766746520996094, 28.9457950592041, 30.142383575439453]","[23.294612884521484, 33.354148864746094, 26.204608917236328, 27.699451446533203, 20.836912155151367, 23.13730239868164, 13.65727424621582, 29.15799331665039, 20.80657196044922, 24.278839111328125, 27.699451446533203, 19.538925170898438, 22.571025848388672, 27.699451446533203, 27.699451446533203, 17.633886337280273, 30.426647186279297, 27.766746520996094, 28.9457950592041, 30.142383575439453]",25.12757396697998,"['**Answer:** No<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', '**No**<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No<|eot_id|>', 'No.<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'Yes.<|eot_id|>', '**Yes**<|eot_id|>', 'No<|eot_id|>']","['no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no']",0.2,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']","['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",0.0
11936,"[27.699451446533203, 26.592674255371094, 27.699451446533203, 27.699451446533203, 27.699451446533203, 27.699451446533203, 27.699451446533203, 30.414318084716797, 27.699451446533203, 28.9457950592041, 27.699451446533203, 28.9457950592041, 27.699451446533203, 28.9457950592041, 28.9457950592041, 27.699451446533203, 25.218017578125, 28.9457950592041, 27.699451446533203, 27.699451446533203]","[27.699451446533203, 26.592674255371094, 27.699451446533203, 27.699451446533203, 27.699451446533203, 27.699451446533203, 27.699451446533203, 30.414318084716797, 27.699451446533203, 28.9457950592041, 27.699451446533203, 28.9457950592041, 27.699451446533203, 28.9457950592041, 28.9457950592041, 27.699451446533203, 25.218017578125, 28.9457950592041, 27.699451446533203, 27.699451446533203]",27.967370128631593,"['**Answer:** No<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'No<|eot_id|>', 'No.<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>', 'Yes.<|eot_id|>', '**Yes**<|eot_id|>', 'Yes.<|eot_id|>', '**Yes**<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>']","['no', 'yes', 'no', 'yes', 'yes', 'no', 'no', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes']",0.7,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']","['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",0.0
11937,"[28.435205459594727, 32.1665153503418, 27.57427215576172, 34.00401306152344, 23.07471466064453, 28.78877067565918, 32.29254150390625, 26.196788787841797, 27.351333618164062, 30.426647186279297, 31.67652702331543, 28.138460159301758, 19.340473175048828, 22.45401954650879, 25.344573974609375, 21.311084747314453, 17.705116271972656, 23.997892379760742, 32.016883850097656, 28.89940071105957]","[28.435205459594727, 32.1665153503418, 27.57427215576172, 34.00401306152344, 23.07471466064453, 28.78877067565918, 32.29254150390625, 26.196788787841797, 27.351333618164062, 30.426647186279297, 31.67652702331543, 28.138460159301758, 19.340473175048828, 22.45401954650879, 25.344573974609375, 21.311084747314453, 17.705116271972656, 23.997892379760742, 32.016883850097656, 28.89940071105957]",27.059761714935302,"['No.<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No<|eot_id|>', 'Yes.<|eot_id|>', 'No<|eot_id|>', 'No.<|eot_id|>', 'No<|eot_id|>', 'Not sure.<|eot_id|>', 'No.<|eot_id|>', 'No<|eot_id|>', 'No<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', '**Yes**<|eot_id|>']","['no', 'yes', 'no', 'yes', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']",0.2,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']","['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",0.0
11938,"[23.27853775024414, 26.608306884765625, 27.699451446533203, 23.35578727722168, 7.707054138183594, 14.405241012573242, 23.140544891357422, 19.950210571289062, 27.699451446533203, 22.426815032958984, 24.273113250732422, 29.887449264526367, 15.57038688659668, 19.04081153869629, 28.32241439819336, 30.26901626586914, 34.422149658203125, 32.414955139160156, 25.861072540283203, 29.30037498474121]","[23.27853775024414, 26.608306884765625, 27.699451446533203, 23.35578727722168, 7.707054138183594, 14.405241012573242, 23.140544891357422, 19.950210571289062, 27.699451446533203, 22.426815032958984, 24.273113250732422, 29.887449264526367, 15.57038688659668, 19.04081153869629, 28.32241439819336, 30.26901626586914, 34.422149658203125, 32.414955139160156, 25.861072540283203, 29.30037498474121]",24.281657218933105,"['No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'Yes.<|eot_id|>', 'No<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No<|eot_id|>', 'No.<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>']","['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no']",0.1,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']","['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",0.0
11939,"[27.558013916015625, 31.00164031982422, 33.89577865600586, 27.45375633239746, 22.689035415649414, 17.139535903930664, 14.520769119262695, 17.422378540039062, 33.09526443481445, 27.188037872314453, 25.242591857910156, 28.01141357421875, 25.548858642578125, 32.330169677734375, 25.755695343017578, 29.735042572021484, 33.54851531982422, 25.73305892944336, 29.06898307800293, 29.6959171295166]","[27.558013916015625, 31.00164031982422, 33.89577865600586, 27.45375633239746, 22.689035415649414, 17.139535903930664, 14.520769119262695, 17.422378540039062, 33.09526443481445, 27.188037872314453, 25.242591857910156, 28.01141357421875, 25.548858642578125, 32.330169677734375, 25.755695343017578, 29.735042572021484, 33.54851531982422, 25.73305892944336, 29.06898307800293, 29.6959171295166]",26.831722831726076,"['**No**<|eot_id|>', 'Yes.<|eot_id|>', '**Answer:** No<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>', 'No<|eot_id|>', 'No<|eot_id|>', 'No.<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>', 'No<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>', 'No<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>']","['no', 'yes', 'no', 'yes', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'yes', 'no', 'yes', 'no']",0.3,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']","['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",0.0
11940,"[33.82286071777344, 28.26652717590332, 19.910930633544922, 30.649219512939453, 26.280963897705078, 24.109020233154297, 15.07614517211914, 23.276611328125, 31.89406394958496, 26.522220611572266, 33.46257781982422, 6.135675430297852, 30.31064796447754, 26.485145568847656, 26.123279571533203, 31.487180709838867, 29.223896026611328, 23.426469802856445, 28.676860809326172, 26.112518310546875]","[33.82286071777344, 28.26652717590332, 19.910930633544922, 30.649219512939453, 26.280963897705078, 24.109020233154297, 15.07614517211914, 23.276611328125, 31.89406394958496, 26.522220611572266, 33.46257781982422, 6.135675430297852, 30.31064796447754, 26.485145568847656, 26.123279571533203, 31.487180709838867, 29.223896026611328, 23.426469802856445, 28.676860809326172, 26.112518310546875]",26.062640762329103,"['**Yes**<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No<|eot_id|>', 'No.<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>', 'No<|eot_id|>', 'No.<|eot_id|>']","['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'yes', 'no', 'no', 'yes', 'no', 'no', 'yes', 'no', 'no', 'no']",0.25,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']","['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",0.0
11941,"[22.89824104309082, 32.08495330810547, 25.910661697387695, 28.512239456176758, 16.62897491455078, 26.273469924926758, 22.791736602783203, 30.60794448852539, 28.727317810058594, 30.640626907348633, 27.469697952270508, 21.37335205078125, 21.5239315032959, 20.22882080078125, 33.235626220703125, 31.6041202545166, 18.50421905517578, 22.172618865966797, 32.520286560058594, 15.836695671081543]","[22.89824104309082, 32.08495330810547, 25.910661697387695, 28.512239456176758, 16.62897491455078, 26.273469924926758, 22.791736602783203, 30.60794448852539, 28.727317810058594, 30.640626907348633, 27.469697952270508, 21.37335205078125, 21.5239315032959, 20.22882080078125, 33.235626220703125, 31.6041202545166, 18.50421905517578, 22.172618865966797, 32.520286560058594, 15.836695671081543]",25.47727675437927,"['No<|eot_id|>', 'Yes.<|eot_id|>', 'No<|eot_id|>', 'No<|eot_id|>', 'No.<|eot_id|>', 'No<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', '**Yes**<|eot_id|>', '**Answer:** No<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', '**Yes**<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>']","['no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no']",0.2,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']","['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",0.0
11942,"[27.16299057006836, 25.590898513793945, 19.5968017578125, 20.13364028930664, 27.321556091308594, 31.71661376953125, 36.287315368652344, 36.6137809753418, 27.86692237854004, 27.24494171142578, 24.566688537597656, 28.36005401611328, 28.9457950592041, 27.066713333129883, 17.286312103271484, 29.568771362304688, 30.836158752441406, 19.2762451171875, 31.163610458374023, 21.88087272644043]","[27.16299057006836, 25.590898513793945, 19.5968017578125, 20.13364028930664, 27.321556091308594, 31.71661376953125, 36.287315368652344, 36.6137809753418, 27.86692237854004, 27.24494171142578, 24.566688537597656, 28.36005401611328, 28.9457950592041, 27.066713333129883, 17.286312103271484, 29.568771362304688, 30.836158752441406, 19.2762451171875, 31.163610458374023, 21.88087272644043]",26.924334144592287,"['Yes.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', '**Answer:** No<|eot_id|>', 'No<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', '**Yes**<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>', 'No<|eot_id|>', 'No.<|eot_id|>']","['yes', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no', 'yes', 'no', 'no', 'no']",0.3,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']","['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",0.0
11943,"[16.47075843811035, 27.326881408691406, 30.19881820678711, 20.573944091796875, 23.377168655395508, 30.618850708007812, 32.52764129638672, 18.424484252929688, 25.706462860107422, 22.761554718017578, 23.439125061035156, 35.23537063598633, 24.47193717956543, 30.51268768310547, 32.58545684814453, 34.034812927246094, 29.33839225769043, 32.04803466796875, 19.691272735595703, 32.1665153503418]","[16.47075843811035, 27.326881408691406, 30.19881820678711, 20.573944091796875, 23.377168655395508, 30.618850708007812, 32.52764129638672, 18.424484252929688, 25.706462860107422, 22.761554718017578, 23.439125061035156, 35.23537063598633, 24.47193717956543, 30.51268768310547, 32.58545684814453, 34.034812927246094, 29.33839225769043, 32.04803466796875, 19.691272735595703, 32.1665153503418]",27.075508499145506,"['No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'Yes.<|eot_id|>', '**Answer:** No<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'Yes.<|eot_id|>']","['no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'yes']",0.3,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']","['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",0.0
