question_id,grounding_grounding_sam,grounding_grounding_sam_processed,grounding_grounding_sam_mean,grounding_qwen_vl,grounding_qwen_vl_processed,grounding_qwen_vl_mean,grounding_llama32_11b,grounding_llama32_11b_processed,grounding_llama32_11b_mean,grounding_gemini,grounding_gemini_processed,grounding_gemini_mean
92,"[0.6127153038978577, 0.6127153038978577, 0.6127153038978577, 0.5452554821968079, 0.5452554821968079, 0.6127153038978577, 0.6127153038978577, 0.6127153038978577, 0.6127153038978577, 0.6127153038978577, 0.6127153038978577, 0.6127153038978577, 0.6127153038978577, 0.5452554821968079, 0.6127153038978577, 0.6127153038978577, 0.6127153038978577, 0.6127153038978577, 0.6127153038978577, 0.6127153038978577]","[0.6127153038978577, 0.6127153038978577, 0.6127153038978577, 0.5452554821968079, 0.5452554821968079, 0.6127153038978577, 0.6127153038978577, 0.6127153038978577, 0.6127153038978577, 0.6127153038978577, 0.6127153038978577, 0.6127153038978577, 0.6127153038978577, 0.5452554821968079, 0.6127153038978577, 0.6127153038978577, 0.6127153038978577, 0.6127153038978577, 0.6127153038978577, 0.6127153038978577]",0.6025963306427002,"['No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>']","['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",0.0,"['Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>']","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",1.0,"['Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",1.0
3150,"[0.4046250879764557, 0.103024423122406, 0.10356715321540833, 0.484425812959671, 0.09670579433441162, 0.10356715321540833, 0.10356715321540833, 0.10356715321540833, 0.10356715321540833, 0.10356715321540833, 0.09670579433441162, 0.10356715321540833, 0.10356715321540833, 0.08122775703668594, 0.08122775703668594, 0.41644060611724854, 0.10356715321540833, 0.41644060611724854, 0.10356715321540833, 0.08122775703668594]","[0.4046250879764557, 0.103024423122406, 0.10356715321540833, 0.484425812959671, 0.09670579433441162, 0.10356715321540833, 0.10356715321540833, 0.10356715321540833, 0.10356715321540833, 0.10356715321540833, 0.09670579433441162, 0.10356715321540833, 0.10356715321540833, 0.08122775703668594, 0.08122775703668594, 0.41644060611724854, 0.10356715321540833, 0.41644060611724854, 0.10356715321540833, 0.08122775703668594]",0.1648861464112997,"['No<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'No<|im_end|>', 'Not sure<|im_end|>', 'No<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>']","['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",0.0,"['Yes.<|eot_id|>', 'No<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'No<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'No<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'No<|eot_id|>', 'No<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'No<|eot_id|>']","['yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'no']",0.7,"['Yes', 'No', 'Yes', 'No', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'No', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'No']","['yes', 'no', 'yes', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'no']",0.65
6051,"[0.5268753170967102, 0.5597413182258606, 0.37932088971138, 0.4854776859283447, 0.4076281487941742, 0.4511148929595947, 0.37932088971138, 0.4854776859283447, 0.4003390371799469, 0.4003390371799469, 0.4003390371799469, 0.37932088971138, 0.4511148929595947, 0.35432136058807373, 0.5597413182258606, 0.4545629322528839, 0.37932088971138, 0.4511148929595947, 0.4511148929595947, 0.37932088971138]","[0.5268753170967102, 0.5597413182258606, 0.37932088971138, 0.4854776859283447, 0.4076281487941742, 0.4511148929595947, 0.37932088971138, 0.4854776859283447, 0.4003390371799469, 0.4003390371799469, 0.4003390371799469, 0.37932088971138, 0.4511148929595947, 0.35432136058807373, 0.5597413182258606, 0.4545629322528839, 0.37932088971138, 0.4511148929595947, 0.4511148929595947, 0.37932088971138]",0.4367953449487686,"['Not sure<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>']","['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",0.0,"['Yes.<|eot_id|>', 'No<|eot_id|>', 'Yes.<|eot_id|>', 'No<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'No<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'No<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'No<|eot_id|>']","['yes', 'no', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'no']",0.75,"['Yes', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']","['yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes']",0.9
13231,"[0.5521775484085083, 0.556369423866272, 0.543832540512085, 0.556369423866272, 0.556369423866272, 0.556369423866272, 0.556369423866272, 0.6284074187278748, 0.556369423866272, 0.556369423866272, 0.556369423866272, 0.556369423866272, 0.556369423866272, 0.556369423866272, 0.5521775484085083, 0.556369423866272, 0.556369423866272, 0.556369423866272, 0.5521775484085083, 0.543832540512085]","[0.5521775484085083, 0.556369423866272, 0.543832540512085, 0.556369423866272, 0.556369423866272, 0.556369423866272, 0.556369423866272, 0.6284074187278748, 0.556369423866272, 0.556369423866272, 0.556369423866272, 0.556369423866272, 0.556369423866272, 0.556369423866272, 0.5521775484085083, 0.556369423866272, 0.556369423866272, 0.556369423866272, 0.5521775484085083, 0.543832540512085]",0.5580888539552689,"['No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>']","['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",0.0,"['Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>']","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",1.0,"['Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",1.0
15180,"[0.589361846446991, 0.6005398035049438, 0.6680145263671875, 0.6005398035049438, 0.6680145263671875, 0.8458150625228882, 0.6680145263671875, 0.8458150625228882, 0.7511008381843567, 0.4848526418209076, 0.4966583847999573, 0.34455370903015137, 0.6680145263671875, 0.4826424717903137, 0.4848526418209076, 0.6776873469352722, 0.6680145263671875, 0.6776873469352722, 0.6005398035049438, 0.7064942717552185]","[0.589361846446991, 0.6005398035049438, 0.6680145263671875, 0.6005398035049438, 0.6680145263671875, 0.8458150625228882, 0.6680145263671875, 0.8458150625228882, 0.7511008381843567, 0.4848526418209076, 0.4966583847999573, 0.34455370903015137, 0.6680145263671875, 0.4826424717903137, 0.4848526418209076, 0.6776873469352722, 0.6680145263671875, 0.6776873469352722, 0.6005398035049438, 0.7064942717552185]",0.6264606833457946,"['Not sure<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'Not sure<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'Not sure<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'Not sure<|im_end|>']","['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",0.0,"['Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'No<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>']","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no']",0.9,"['Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",1.0
17740,"[0.8918110132217407, 0.8936811685562134, 0.8807970285415649, 0.8868131041526794, 0.44001805782318115, 0.8800774812698364, 0.8881781101226807, 0.891999363899231, 0.7884203195571899, 0.818156361579895, 0.8800774812698364, 0.8982321619987488, 0.8800774812698364, 0.8881781101226807, 0.8936811685562134, 0.8830344080924988, 0.6075467467308044, 0.8881781101226807, 0.8161134123802185, 0.8881781101226807]","[0.8918110132217407, 0.8936811685562134, 0.8807970285415649, 0.8868131041526794, 0.44001805782318115, 0.8800774812698364, 0.8881781101226807, 0.891999363899231, 0.7884203195571899, 0.818156361579895, 0.8800774812698364, 0.8982321619987488, 0.8800774812698364, 0.8881781101226807, 0.8936811685562134, 0.8830344080924988, 0.6075467467308044, 0.8881781101226807, 0.8161134123802185, 0.8881781101226807]",0.8391624599695205,"['Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'No<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>']","['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",0.0,"['No.<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>']","['no', 'yes', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes']",0.25,"['Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",1.0
27031,"[0.682044506072998, 0.682044506072998, 0.6951311230659485, 0.682044506072998, 0.682044506072998, 0.682044506072998, 0.682044506072998, 0.7552762031555176, 0.6672560572624207, 0.682044506072998, 0.6672560572624207, 0.682044506072998, 0.682044506072998, 0.6672560572624207, 0.682044506072998, 0.7552762031555176, 0.5428330302238464, 0.682044506072998, 0.5201764106750488, 0.6951311230659485]","[0.682044506072998, 0.682044506072998, 0.6951311230659485, 0.682044506072998, 0.682044506072998, 0.682044506072998, 0.682044506072998, 0.7552762031555176, 0.6672560572624207, 0.682044506072998, 0.6672560572624207, 0.682044506072998, 0.682044506072998, 0.6672560572624207, 0.682044506072998, 0.7552762031555176, 0.5428330302238464, 0.682044506072998, 0.5201764106750488, 0.6951311230659485]",0.6734040915966034,"['No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'Not sure<|im_end|>', 'No<|im_end|>', 'Yes<|im_end|>', 'No<|im_end|>']","['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no']",0.05,"['Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>']","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",1.0,"['Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",1.0
29641,"[0.3929772973060608, 0.33676713705062866, 0.48654499650001526, 0.45916709303855896, 0.4160253703594208, 0.3929772973060608, 0.3929772973060608, 0.4845934808254242, 0.48643067479133606, 0.3929772973060608, 0.33339470624923706, 0.4706757962703705, 0.3929772973060608, 0.4844334125518799, 0.3929772973060608, 0.4153137803077698, 0.33676713705062866, 0.3929772973060608, 0.4847383201122284, 0.4845934808254242]","[0.3929772973060608, 0.33676713705062866, 0.48654499650001526, 0.45916709303855896, 0.4160253703594208, 0.3929772973060608, 0.3929772973060608, 0.4845934808254242, 0.48643067479133606, 0.3929772973060608, 0.33339470624923706, 0.4706757962703705, 0.3929772973060608, 0.4844334125518799, 0.3929772973060608, 0.4153137803077698, 0.33676713705062866, 0.3929772973060608, 0.4847383201122284, 0.4845934808254242]",0.4215143233537674,"['Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>', 'Not sure<|im_end|>']","['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",0.0,"['Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'No.<|eot_id|>', 'No.<|eot_id|>']","['yes', 'yes', 'yes', 'yes', 'no', 'no', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no']",0.7,"['No', 'Yes', 'Yes', 'No', 'No', 'No', 'No', 'Yes', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'Yes', 'Yes', 'No', 'No', 'Yes']","['no', 'yes', 'yes', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no', 'yes']",0.3
31482,"[0.8987665772438049, 0.8987665772438049, 0.8987665772438049, 0.8071568012237549, 0.8987665772438049, 0.772015392780304, 0.9153559803962708, 0.8398653864860535, 0.8987665772438049, 0.9153559803962708, 0.8987665772438049, 0.8987665772438049, 0.9153559803962708, 0.8987665772438049, 0.8398653864860535, 0.8987665772438049, 0.9358173608779907, 0.8071568012237549, 0.8987665772438049, 0.8987665772438049]","[0.8987665772438049, 0.8987665772438049, 0.8987665772438049, 0.8071568012237549, 0.8987665772438049, 0.772015392780304, 0.9153559803962708, 0.8398653864860535, 0.8987665772438049, 0.9153559803962708, 0.8987665772438049, 0.8987665772438049, 0.9153559803962708, 0.8987665772438049, 0.8398653864860535, 0.8987665772438049, 0.9358173608779907, 0.8071568012237549, 0.8987665772438049, 0.8987665772438049]",0.8817188709974288,"['No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'Not sure<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>']","['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']",0.0,"['Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>']","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",1.0,"['Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",1.0
33891,"[0.36817848682403564, 0.3995773196220398, 0.3964770436286926, 0.4025682508945465, 0.3585776388645172, 0.389430433511734, 0.3585776388645172, 0.3890821933746338, 0.41377320885658264, 0.3585776388645172, 0.4128851890563965, 0.39315199851989746, 0.3648906946182251, 0.3582407832145691, 0.3720487952232361, 0.39140594005584717, 0.37874627113342285, 0.3585776388645172, 0.3704531192779541, 0.36727026104927063]","[0.36817848682403564, 0.3995773196220398, 0.3964770436286926, 0.4025682508945465, 0.3585776388645172, 0.389430433511734, 0.3585776388645172, 0.3890821933746338, 0.41377320885658264, 0.3585776388645172, 0.4128851890563965, 0.39315199851989746, 0.3648906946182251, 0.3582407832145691, 0.3720487952232361, 0.39140594005584717, 0.37874627113342285, 0.3585776388645172, 0.3704531192779541, 0.36727026104927063]",0.38012452721595763,"['Yes<|im_end|>', 'No<|im_end|>', 'Yes<|im_end|>', 'Yes<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'Yes<|im_end|>', 'Yes<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'Yes<|im_end|>', 'Yes<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'Yes<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'No<|im_end|>', 'Yes<|im_end|>']","['yes', 'no', 'yes', 'yes', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no', 'yes', 'yes', 'no', 'no', 'yes', 'no', 'no', 'no', 'yes']",0.45,"['Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>', 'Yes.<|eot_id|>']","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",1.0,"['Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes\n', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",1.0
