question_id,accuracy
10149001,0.85
102400004,0.1
104150001,1.0
104221000,0.8
104345015,1.0
104453000,0.7
104603004,0.7
105011001,0.75
105264000,0.8
105291004,0.1
10591003,1.0
106563002,1.0
106624002,1.0
106757002,0.85
10681002,1.0
107851004,1.0
108129014,0.95
108353004,0.9
108953010,0.05
109012005,1.0
10928005,0.0
110626002,1.0
110972003,0.95
111076000,0.8
111801000,1.0
11182000,1.0
11184002,0.85
113756004,0.2
113867002,0.55
114503000,1.0
115077000,0.65
116083003,0.25
116377001,0.3
11655001,0.9
117458003,0.55
118564039,0.95
119308010,0.6
120356005,0.6
120535001,0.0
121210005,0.75
12153009,0.65
121904000,1.0
122213017,0.9
123239012,0.65
125286008,1.0
126137001,1.0
126657001,1.0
126995002,0.8
127535006,0.7
128699001,0.3
131361008,0.55
131965006,0.9
131980000,0.05
13201002,1.0
132219001,0.15
133042012,0.7
133386018,0.6
133636002,0.85
134119013,1.0
134574012,0.95
134649004,0.9
136250012,0.0
13637005,0.35
136458004,0.95
137844001,1.0
138648001,0.75
138975011,1.0
139472001,1.0
13985002,0.8
141040001,1.0
142360008,0.95
142585001,0.45
14285001,1.0
142971003,0.7
143107000,0.95
143119000,1.0
143129004,0.2
143305001,0.65
143503001,0.4
143948002,0.0
144932011,0.85
145032000,1.0
145542003,0.85
14629010,0.05
146742007,1.0
147309009,0.95
148067002,0.1
148724005,0.95
149641001,0.9
149785007,1.0
150320006,0.05
150893000,0.7
152525002,1.0
153428001,0.05
153529000,1.0
153578001,0.7
153709004,0.15
153782002,0.0
154363012,0.85
154423006,0.95
154497002,1.0
154721000,0.9
154947003,1.0
155192001,0.25
155312001,1.0
155465001,0.0
156555000,1.0
156832019,0.6
157214002,1.0
1584014,0.2
15918000,0.55
159738002,0.95
159854005,0.95
160351018,1.0
160580005,0.9
160828003,1.0
161128000,0.25
161161005,1.0
161758006,0.0
161877015,1.0
161879001,1.0
162021002,0.85
163255002,0.95
163260001,1.0
163728001,0.0
163755001,0.3
164330001,1.0
166979006,0.9
168248002,1.0
168543002,0.8
168617004,1.0
169045000,0.6
169808006,1.0
170232017,0.2
170292006,1.0
170293003,0.95
170654003,0.15
170849001,0.45
170893000,1.0
171335002,0.9
17152018,0.75
171678002,0.85
171678018,1.0
172856001,1.0
173908002,0.0
17449001,1.0
174893000,0.65
175417002,0.05
175604007,0.25
175785012,0.5
175785027,1.0
176606002,1.0
176744000,0.55
177449007,0.05
177535000,1.0
177714003,1.0
177927001,0.95
178189000,0.65
178616001,0.95
178748002,0.95
179094002,0.05
179141002,0.25
17959010,0.65
180925005,0.25
181132005,1.0
18148003,0.95
181542001,0.35
182240006,0.6
182511003,0.9
182775001,0.45
183114023,0.95
183715018,0.35
184172012,0.9
184321004,0.8
18490005,0.35
185360003,0.6
185393003,0.05
186083000,1.0
186991000,0.9
187055001,0.8
187565000,0.0
187641003,1.0
18928005,0.25
189387003,0.05
190095003,0.25
19032001,0.95
190738001,0.0
191845000,1.0
191949001,0.05
192212001,1.0
192676002,1.0
192964000,0.85
193121004,0.5
194158002,1.0
195023002,0.9
195269014,0.35
195648004,0.65
195800000,0.0
196650002,1.0
196836001,1.0
197492001,0.95
198251000,1.0
198563001,1.0
1993002,0.65
199481003,0.95
199671001,1.0
200770002,0.4
200882001,0.25
201717003,0.05
202093003,0.3
202387002,0.7
203085009,1.0
203539012,0.95
203754000,0.25
204507000,1.0
204525007,1.0
205776001,0.65
206907000,1.0
207059002,0.8
207177000,0.9
20760000,0.65
208001,0.0
208283009,1.0
208566003,1.0
209757010,1.0
209808004,0.0
210103003,1.0
210439005,0.8
210607000,1.0
210607003,1.0
211107001,0.05
21167011,0.95
212203001,1.0
212285007,0.6
212766017,0.8
213276007,0.5
213649004,0.85
213951006,0.1
214199001,0.95
217546003,0.4
218290003,0.95
218290005,0.95
218456000,0.7
21993005,0.9
220118001,0.8
220528008,1.0
221095000,1.0
221477000,1.0
221693003,1.0
222313000,0.0
222343001,0.8
223019003,0.05
225792007,0.0
22596000,1.0
227226002,0.35
227901001,0.6
228721000,0.7
229132003,1.0
229946006,1.0
229968004,0.9
231097029,1.0
231568001,0.1
231942015,0.2
23201003,1.0
232073000,0.8
232223001,1.0
232563001,0.6
23359003,1.0
233915004,0.75
233994004,0.7
235340000,0.8
235621001,0.8
236837000,0.9
237350005,0.95
237735000,1.0
238029009,1.0
238029028,0.85
238602007,1.0
239274000,0.85
240028005,1.0
240455001,0.95
241880004,0.95
243204001,0.7
243401000,0.95
24385000,0.0
243857012,0.75
243896006,0.8
244151003,0.65
244197003,0.85
244468003,1.0
245450003,0.75
246308001,1.0
246616022,0.95
246701007,0.6
248711001,1.0
248771002,1.0
248920002,0.7
249838000,1.0
249909006,0.95
250313002,0.0
251195009,0.0
251888004,0.6
2525001,0.95
253607003,0.35
254096001,1.0
254609000,0.95
254732009,1.0
256067000,0.65
257537014,0.25
26024001,1.0
260275000,1.0
261116001,0.8
2613005,0.75
262608003,0.95
262758000,1.0
263258000,0.3
263292001,0.0
264619000,0.0
264625004,0.05
264659000,1.0
264730002,1.0
265313005,1.0
265472013,0.95
265552001,0.6
265636000,0.95
266099001,1.0
267951001,1.0
26907002,0.4
26946002,0.75
270708001,1.0
271046001,0.95
271471003,1.0
271643000,0.75
273045002,0.15
27371036,0.9
273889002,0.95
274219001,0.85
274939007,0.95
275253000,1.0
27609000,0.8
27662017,1.0
27897004,1.0
279013000,0.65
279463002,0.9
279490028,0.4
279549002,1.0
280293001,1.0
280530000,0.0
281512024,1.0
28192001,0.9
282066004,1.0
282830002,1.0
283203001,0.95
283254000,0.95
283904003,0.95
283940003,1.0
28463005,0.95
286353002,1.0
287285003,0.85
288150014,1.0
288174011,1.0
288599006,0.8
28872002,1.0
28874000,0.75
28978002,1.0
290179007,0.35
290979014,1.0
291067001,0.85
29136011,0.3
292082000,1.0
292622000,0.95
292697001,1.0
293333005,0.15
294992002,0.1
295076013,0.8
296393003,0.0
